"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S4690",-0.182797640474761,-0.0324891336212323,0.288064227964727,0.459371774544849,-0.460386029344406,-0.0078095544456323,0.281748759298152,0.226209388996117,0.798802245872855,-0.158691681448016,1,-0.413997877357991,-0.337811991076375,-0.690495572586173,-0.248085030186855,0.47149301570338,-0.0542891325405925,-0.140853484313659,0.0258689882290509,-0.467142220704155,0.708388472743844,-0.228494702090707,0.0321880209347475,-0.139020760714802
"S4692",0.267923545427651,-0.502324888688631,0.0501525913409199,0.220109926097873,0.275043343647935,0.141152840798625,-0.190928773266713,-0.337391022162234,-0.514370965658348,-0.274636874569239,-0.413997877357991,1,0.0274496737374641,0.373776017938477,0.00795020771184672,-0.25465298958975,0.272498913386434,0.276924192299187,-0.225284284176278,-0.170079182132447,-0.118738597965502,-0.351739671176328,0.458755884256392,-0.104494850356318
"S4693",-0.041935329206459,0.257240259541643,-0.16009414826117,-0.62891773173045,0.301201818126589,0.426766945021327,-0.330580986687318,0.443494554855845,-0.314775245451494,0.52256279026614,-0.337811991076375,0.0274496737374641,1,0.176492054008636,-0.359355388568594,-0.114375529382846,-0.395863756502092,0.287121909360444,-0.0608718781582373,0.33869299712968,0.0302885454286254,0.292990058740748,-0.135341810690331,0.407775182251968
"S4707",-0.195850104672297,-0.151344343597094,0.0430745648883889,-0.0613178875285705,0.594083560249599,-0.4743497211424,-0.436875552673158,-0.258405236231026,-0.851066129735255,-0.195559897631905,-0.690495572586173,0.373776017938477,0.176492054008636,1,0.586145346592721,-0.308760032212325,0.158697461256736,0.226300372039099,-0.176883525977315,0.504194322174354,-0.490919172532747,0.400923159092626,0.251994690661677,0.380661463731947
"S4723",-0.195976515678504,-0.118398766763226,0.0410399163733942,0.49534919573625,-0.073259806854764,-0.304608553756189,-0.442867891246665,-0.456413463497881,-0.23280860743554,-0.26337111701837,-0.248085030186855,0.00795020771184672,-0.359355388568594,0.586145346592721,1,0.0832771764296986,-0.0591999927070149,-0.142768228193973,-0.157466803585895,0.269791404021623,-0.192361671566435,-0.0805412110807543,0.230758397724686,-0.104521186227306
"S5017",0.23603177730736,0.431267072730408,-0.232112847065072,0.248654963694496,0.0292664263150476,0.0619119781721144,-0.579748251203226,-0.208901997074349,0.193695584012025,0.211417929567267,0.47149301570338,-0.25465298958975,-0.114375529382846,-0.308760032212325,0.0832771764296986,1,-0.231411682216187,0.49548294871698,-0.327540543863509,0.106339849660146,0.0384014418703304,-0.520496646749607,-0.213148412118597,-0.377655126951491
"S5513",-0.157220385180229,0.0239001661404528,0.171279829352153,0.258735263767085,0.180601789787418,-0.356938308567688,0.437026271599192,0.265766281106596,-0.217852571157968,-0.337357360590756,-0.0542891325405925,0.272498913386434,-0.395863756502092,0.158697461256736,-0.0591999927070149,-0.231411682216187,1,0.362177650105677,0.261767981261496,-0.332425470427695,-0.271013499237445,0.0152105773135439,-0.165486311721108,-0.11946096723189
"S810",0.114347007661273,0.502083813371006,-0.30873824628959,-0.0649111152511397,0.629464251549364,-0.0164584550174438,-0.503420462920821,0.107687351881217,-0.52977009874127,0.142854554961423,-0.140853484313659,0.276924192299187,0.287121909360444,0.226300372039099,-0.142768228193973,0.49548294871698,0.362177650105677,1,-0.299132737055968,0.242336873577704,-0.407886550038359,-0.196018785988247,-0.354880978269737,-0.0809318839183551
"S811",0.251221618413465,-0.275811879754379,0.665865464760324,-0.180563901608674,-0.492625188350162,-0.0339827380174462,0.476511223936893,0.430869897786519,0.314225494653934,0.520970183224776,0.0258689882290509,-0.225284284176278,-0.0608718781582373,-0.176883525977315,-0.157466803585895,-0.327540543863509,0.261767981261496,-0.299132737055968,1,-0.642597299213937,0.261900055584488,0.0303394263814722,0.240233185932332,-0.205122539645566
"S813",-0.232078886969735,0.520842965019566,-0.661651497885685,-0.412024817414436,0.691967217005468,-0.224729819795873,-0.516129240103229,-0.285760766414751,-0.592821329445052,-0.0875924253270851,-0.467142220704155,-0.170079182132447,0.33869299712968,0.504194322174354,0.269791404021623,0.106339849660146,-0.332425470427695,0.242336873577704,-0.642597299213937,1,-0.651435648515179,0.488737882162975,-0.421305536699432,0.447544706502857
"S819",-0.116602592612092,-0.453057867811214,0.555504085837213,0.39458275928358,-0.692543029519361,0.313411052235582,0.251990467578339,0.343457473306296,0.741420378286994,0.0206573578015218,0.708388472743844,-0.118738597965502,0.0302885454286254,-0.490919172532747,-0.192361671566435,0.0384014418703304,-0.271013499237445,-0.407886550038359,0.261900055584488,-0.651435648515179,1,-0.235801092091715,0.452332037155973,-0.0881354719076999
"S892",-0.516299160782961,0.103284870559878,0.0361818735374976,-0.540586457742946,0.44329010197333,-0.520510451877886,0.277597171786278,0.266176506471059,-0.299137706563999,-0.131825338346239,-0.228494702090707,-0.351739671176328,0.292990058740748,0.400923159092626,-0.0805412110807543,-0.520496646749607,0.0152105773135439,-0.196018785988247,0.0303394263814722,0.488737882162975,-0.235801092091715,1,-0.151346932236927,0.797962917666825
"S894",0.255363361296313,-0.939018121718892,0.726209509930883,0.273763624782228,-0.20989184446761,-0.176772460661874,-0.0944659834080002,-0.361753403264754,-0.000896802651552665,-0.0574971122585842,0.0321880209347475,0.458755884256392,-0.135341810690331,0.251994690661677,0.230758397724686,-0.213148412118597,-0.165486311721108,-0.354880978269737,0.240233185932332,-0.421305536699432,0.452332037155973,-0.151346932236927,1,0.00716481215488411
"S903",-0.654978861419837,0.0265390648902009,0.139269659689689,-0.392720885306452,0.451966607093513,-0.265220642908146,0.0647351364152577,0.250618679452802,-0.34727618322215,-0.122642260615982,-0.139020760714802,-0.104494850356318,0.407775182251968,0.380661463731947,-0.104521186227306,-0.377655126951491,-0.11946096723189,-0.0809318839183551,-0.205122539645566,0.447544706502857,-0.0881354719076999,0.797962917666825,0.00716481215488411,1
