"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1542",0.99953106079969,0.999575653795423,0.999460216558977,0.99962986163416,0.999565964563301,0.999564059570985,0.999623871252036,0.999827415532246,0.999755331607474,0.999755331607474,1,0.999104360925345,0.999014804864264,0.998865790519009,0.998817747909334,0.998438677978303,0.998438677978303,0.998491756217964,0.998447120013071,0.998447120013071,0.998447120013071,0.99817305129602,0.99866254714823,0.998011357943636,0.998011357943636,0.997972627054143,0.997831698513309,0.998039600956391,0.997996041298799,0.998299564070036,0.998299564070036,0.998007192593027
"S1917",0.998219686395998,0.998314169718819,0.998157179510194,0.997972253288637,0.997933706992405,0.997816103431632,0.998191822794878,0.998632650023563,0.998479333560419,0.998479333560419,0.999104360925345,1,0.999835764306485,0.999834730742023,0.99964668931715,0.999407597801017,0.999407597801017,0.999479422224717,0.999503264755448,0.999503264755448,0.999503264755448,0.999263173012118,0.99965600756554,0.999447207028007,0.999447207028007,0.999315911684036,0.999234468751433,0.999387849809779,0.999315446280136,0.999483162230736,0.999483162230736,0.99932688014371
"S2081",0.997877667480908,0.997989825398255,0.997899964132049,0.99777814695581,0.997788339791008,0.997713722785087,0.997879223369701,0.998435064321997,0.998248397932226,0.998248397932226,0.999014804864264,0.999835764306485,1,0.999805022336986,0.999634190752923,0.99953628585343,0.99953628585343,0.999583411121519,0.999491905835013,0.999491905835013,0.999491905835013,0.99931086954337,0.999710880236678,0.99946638334947,0.99946638334947,0.999410654384173,0.999308948437836,0.999484530656479,0.999409015577668,0.999510210097294,0.999510210097294,0.999427554686577
"S2172",0.997749429700631,0.997855359289154,0.997666280860257,0.997568666046071,0.997620649848274,0.997387255388678,0.997890079307664,0.998304165566884,0.998186929716659,0.998186929716659,0.998865790519009,0.999834730742023,0.999805022336986,1,0.999880662345135,0.999771736991129,0.999771736991129,0.999663036898776,0.99967955113406,0.99967955113406,0.99967955113406,0.99969251703345,0.999815588116721,0.999706319898522,0.999706319898522,0.999688667996348,0.999562730542837,0.999732748722795,0.999588851807585,0.999757721672312,0.999757721672312,0.999533360845475
"S2292",0.997750190731325,0.997786132086183,0.997636218844952,0.9975597719371,0.997588373366832,0.997336791156331,0.997912349922615,0.998275383620239,0.99817329148425,0.99817329148425,0.998817747909334,0.99964668931715,0.999634190752923,0.999880662345135,1,0.999847413479011,0.999847413479011,0.999732858318871,0.999808534811724,0.999808534811724,0.999808534811724,0.999697125722715,0.999860795008231,0.999696836928322,0.999696836928322,0.999742369848008,0.999733732638159,0.999738104266823,0.999720184784299,0.999782694765248,0.999782694765248,0.999571156746347
"S2432",0.997101300170758,0.997180856461399,0.997079731374392,0.99700001539478,0.99704289046991,0.996888601414077,0.9973178780789,0.997863597387079,0.997592831401417,0.997592831401417,0.998438677978303,0.999407597801017,0.99953628585343,0.999771736991129,0.999847413479011,1,1,0.99980931674338,0.999798682870976,0.999798682870976,0.999798682870976,0.999840914131109,0.999806521338592,0.999837030293758,0.999837030293758,0.999927792537156,0.999840834611046,0.999928880857787,0.999859576640925,0.999884112100433,0.999884112100433,0.999772007787696
"S2445",0.997101300170758,0.997180856461399,0.997079731374392,0.99700001539478,0.99704289046991,0.996888601414077,0.9973178780789,0.997863597387079,0.997592831401417,0.997592831401417,0.998438677978303,0.999407597801017,0.99953628585343,0.999771736991129,0.999847413479011,1,1,0.99980931674338,0.999798682870976,0.999798682870976,0.999798682870976,0.999840914131109,0.999806521338592,0.999837030293758,0.999837030293758,0.999927792537156,0.999840834611046,0.999928880857787,0.999859576640925,0.999884112100433,0.999884112100433,0.999772007787696
"S2463",0.996973343664508,0.997106012243961,0.996885179569738,0.996934336935649,0.99692669340465,0.996850517116568,0.997149784920704,0.997877550627086,0.997550223318872,0.997550223318872,0.998491756217964,0.999479422224717,0.999583411121519,0.999663036898776,0.999732858318871,0.99980931674338,0.99980931674338,1,0.999923254422407,0.999923254422407,0.999923254422407,0.999790795616939,0.999767186550864,0.999777098304184,0.999777098304184,0.999781270693188,0.99970314599696,0.999819273359973,0.999832454132307,0.99985964770103,0.99985964770103,0.999856292153176
"S2478",0.997197320553906,0.997326077139632,0.997083120353099,0.997053350172099,0.997065169180391,0.996896570387845,0.997353121257048,0.997977143405037,0.997693637376183,0.997693637376183,0.998447120013071,0.999503264755448,0.999491905835013,0.99967955113406,0.999808534811724,0.999798682870976,0.999798682870976,0.999923254422407,1,1,1,0.999813149608659,0.999864727875032,0.999735189415819,0.999735189415819,0.999830608952492,0.999786033501895,0.999845620307964,0.999905109702057,0.999835444998033,0.999835444998033,0.999868972899865
"S2580",0.997197320553906,0.997326077139632,0.997083120353099,0.997053350172099,0.997065169180391,0.996896570387845,0.997353121257048,0.997977143405037,0.997693637376183,0.997693637376183,0.998447120013071,0.999503264755448,0.999491905835013,0.99967955113406,0.999808534811724,0.999798682870976,0.999798682870976,0.999923254422407,1,1,1,0.999813149608659,0.999864727875032,0.999735189415819,0.999735189415819,0.999830608952492,0.999786033501895,0.999845620307964,0.999905109702057,0.999835444998033,0.999835444998033,0.999868972899865
"S2581",0.997197320553906,0.997326077139632,0.997083120353099,0.997053350172099,0.997065169180391,0.996896570387845,0.997353121257048,0.997977143405037,0.997693637376183,0.997693637376183,0.998447120013071,0.999503264755448,0.999491905835013,0.99967955113406,0.999808534811724,0.999798682870976,0.999798682870976,0.999923254422407,1,1,1,0.999813149608659,0.999864727875032,0.999735189415819,0.999735189415819,0.999830608952492,0.999786033501895,0.999845620307964,0.999905109702057,0.999835444998033,0.999835444998033,0.999868972899865
"S2611",0.996700249956928,0.996875853091299,0.996574866488291,0.996651882330409,0.996756720949978,0.996489116032371,0.997026343247829,0.997625171954097,0.997383673669308,0.997383673669308,0.99817305129602,0.999263173012118,0.99931086954337,0.99969251703345,0.999697125722715,0.999840914131109,0.999840914131109,0.999790795616939,0.999813149608659,0.999813149608659,0.999813149608659,1,0.99972306453004,0.999756280942613,0.999756280942613,0.999862579920066,0.999699343529121,0.99989533600335,0.999784805712476,0.999859216461342,0.999859216461342,0.999778586186749
"S2628",0.997562896036016,0.997688794086258,0.997513879538962,0.997405822125303,0.997429413941888,0.997202285929517,0.997673819164103,0.998172901683123,0.997983884819249,0.997983884819249,0.99866254714823,0.99965600756554,0.999710880236678,0.999815588116721,0.999860795008231,0.999806521338592,0.999806521338592,0.999767186550864,0.999864727875032,0.999864727875032,0.999864727875032,0.99972306453004,1,0.999723845693254,0.999723845693254,0.999763416665611,0.999797991524322,0.999811582197041,0.999866424615662,0.999778898540438,0.999778898540438,0.999795826711687
"S2709",0.99652871483683,0.996548099102569,0.996486747894058,0.996347108158192,0.996345157372576,0.996176199404166,0.996676628050157,0.997281529034517,0.997049022157996,0.997049022157996,0.998011357943636,0.999447207028007,0.99946638334947,0.999706319898522,0.999696836928322,0.999837030293758,0.999837030293758,0.999777098304184,0.999735189415819,0.999735189415819,0.999735189415819,0.999756280942613,0.999723845693254,1,1,0.999833688052829,0.999878979384093,0.99986811531198,0.999829415319415,0.999960358136522,0.999960358136522,0.999837278366967
"S2715",0.99652871483683,0.996548099102569,0.996486747894058,0.996347108158192,0.996345157372576,0.996176199404166,0.996676628050157,0.997281529034517,0.997049022157996,0.997049022157996,0.998011357943636,0.999447207028007,0.99946638334947,0.999706319898522,0.999696836928322,0.999837030293758,0.999837030293758,0.999777098304184,0.999735189415819,0.999735189415819,0.999735189415819,0.999756280942613,0.999723845693254,1,1,0.999833688052829,0.999878979384093,0.99986811531198,0.999829415319415,0.999960358136522,0.999960358136522,0.999837278366967
"S2723",0.99663396919884,0.996734264151672,0.996606078101626,0.996457473306506,0.996539425838141,0.996350295073475,0.996824321308901,0.997445940129314,0.997141934346992,0.997141934346992,0.997972627054143,0.999315911684036,0.999410654384173,0.999688667996348,0.999742369848008,0.999927792537156,0.999927792537156,0.999781270693188,0.999830608952492,0.999830608952492,0.999830608952492,0.999862579920066,0.999763416665611,0.999833688052829,0.999833688052829,1,0.999866283118636,0.999984503605005,0.999908110570922,0.999874594990523,0.999874594990523,0.99984585853647
"S2740",0.996526200901254,0.996522649316742,0.996496074876375,0.99630309904241,0.996321512051405,0.996089663549065,0.996662748957076,0.997206215719853,0.99699152828345,0.99699152828345,0.997831698513309,0.999234468751433,0.999308948437836,0.999562730542837,0.999733732638159,0.999840834611046,0.999840834611046,0.99970314599696,0.999786033501895,0.999786033501895,0.999786033501895,0.999699343529121,0.999797991524322,0.999878979384093,0.999878979384093,0.999866283118636,1,0.999859517529261,0.99993756514264,0.999868362918084,0.999868362918084,0.999843519847341
"S2768",0.996637098668288,0.996779227282953,0.996607892973125,0.996486322044719,0.996554154737084,0.996372143675811,0.996831152581982,0.99748041736221,0.997164110467895,0.997164110467895,0.998039600956391,0.999387849809779,0.999484530656479,0.999732748722795,0.999738104266823,0.999928880857787,0.999928880857787,0.999819273359973,0.999845620307964,0.999845620307964,0.999845620307964,0.99989533600335,0.999811582197041,0.99986811531198,0.99986811531198,0.999984503605005,0.999859517529261,1,0.99992465068716,0.999892885059673,0.999892885059673,0.999886451291669
"S2783",0.996650460570085,0.9967629292707,0.9966198326456,0.996483459226513,0.996499004664798,0.996328294771535,0.996793684324683,0.997450596890501,0.997129087095299,0.997129087095299,0.997996041298799,0.999315446280136,0.999409015577668,0.999588851807585,0.999720184784299,0.999859576640925,0.999859576640925,0.999832454132307,0.999905109702057,0.999905109702057,0.999905109702057,0.999784805712476,0.999866424615662,0.999829415319415,0.999829415319415,0.999908110570922,0.99993756514264,0.99992465068716,1,0.99984964750743,0.99984964750743,0.999940658408541
"S2803",0.996902266684003,0.996917154277484,0.996832806570756,0.996776549893345,0.996808458730073,0.996621233360165,0.997087146660575,0.997664372862728,0.997461820481349,0.997461820481349,0.998299564070036,0.999483162230736,0.999510210097294,0.999757721672312,0.999782694765248,0.999884112100433,0.999884112100433,0.99985964770103,0.999835444998033,0.999835444998033,0.999835444998033,0.999859216461342,0.999778898540438,0.999960358136522,0.999960358136522,0.999874594990523,0.999868362918084,0.999892885059673,0.99984964750743,1,1,0.999869544150794
"S2813",0.996902266684003,0.996917154277484,0.996832806570756,0.996776549893345,0.996808458730073,0.996621233360165,0.997087146660575,0.997664372862728,0.997461820481349,0.997461820481349,0.998299564070036,0.999483162230736,0.999510210097294,0.999757721672312,0.999782694765248,0.999884112100433,0.999884112100433,0.99985964770103,0.999835444998033,0.999835444998033,0.999835444998033,0.999859216461342,0.999778898540438,0.999960358136522,0.999960358136522,0.999874594990523,0.999868362918084,0.999892885059673,0.99984964750743,1,1,0.999869544150794
"S2855",0.996584987736659,0.996698805359613,0.996570669394958,0.996479706257294,0.99649752673947,0.996376087467603,0.996716260534373,0.997468261007765,0.997117955175575,0.997117955175575,0.998007192593027,0.99932688014371,0.999427554686577,0.999533360845475,0.999571156746347,0.999772007787696,0.999772007787696,0.999856292153176,0.999868972899865,0.999868972899865,0.999868972899865,0.999778586186749,0.999795826711687,0.999837278366967,0.999837278366967,0.99984585853647,0.999843519847341,0.999886451291669,0.999940658408541,0.999869544150794,0.999869544150794,1
