"","S6809","S6812","S6817","S6831","S6833","S6837","S6840","S6841","S6842","S6844","S6850","S6851","S6853","S6855","S6857","S6859","S6860","S6863","S6869","S6870","S6882","S6897","S6898","S6900","S6959","S6964"
"S6850",0.895362307706676,0.954371016122467,0.964267124470954,0.908873492646942,0.94917355834584,0.828019770004559,0.978961468198079,0.96271043698388,0.954859223093312,0.896873627656822,1,0.966224799004178,0.967502068632046,0.4367162536616,0.902887664875679,0.902854816380458,0.957887821161645,0.920878591583226,0.964485033361676,0.915968268588525,0.929639913704122,0.927028118773586,0.900529810549519,0.925987356560753,0.893981535576057,0.936244712084717
"S6851",0.914117426639154,0.983548449805261,0.979329313151795,0.938746690376982,0.963035125137704,0.745119703432732,0.976474404278707,0.987265323286837,0.911361476996987,0.862905767235834,0.966224799004178,1,0.998939397836049,0.346386545685671,0.906586498722509,0.906615340722772,0.973489143812861,0.939907744631096,0.952242691704902,0.958457456689057,0.961466046801964,0.960128282607389,0.897566026694018,0.959567263047772,0.902084178994935,0.934609729551982
"S6853",0.916629822872701,0.988438942208443,0.983777551791665,0.942080577781834,0.962582184616382,0.755846034704797,0.974351710466142,0.992119338240686,0.907718318920757,0.867921331276503,0.967502068632046,0.998939397836049,1,0.324803536588103,0.918481591511021,0.918509099267914,0.976056808325001,0.941801050250115,0.960145985977809,0.955772045326621,0.961717921397394,0.957631794030057,0.91012089359649,0.955550363617968,0.90018924232477,0.935854892036504
"S6855",0.14444192250467,0.253237735332715,0.300243371285002,0.106388655029014,0.529337279015121,0.541408053536098,0.41945443178792,0.245789040787203,0.626453975601368,0.576600485312883,0.4367162536616,0.346386545685671,0.324803536588103,1,0.166622050962571,0.166572256472398,0.214039859228059,0.114263423917806,0.225537835392882,0.21962902018291,0.190354492463757,0.236515059785572,0.166922701218929,0.221683698743005,0.201213064153218,0.201941042966657
"S6857",0.809398207066512,0.955770864491195,0.950076949332209,0.856153983473107,0.862524678911992,0.726885137103078,0.857716175737023,0.936010941344684,0.782592004642494,0.806851136492698,0.902887664875679,0.906586498722509,0.918481591511021,0.166622050962571,1,0.999999928384366,0.914352990339508,0.909277883909802,0.943544861719811,0.843629160334669,0.857402157551178,0.834417075663181,0.999259780933038,0.84715969533498,0.792132431572931,0.846941885166585
"S6859",0.809419116851757,0.955785181729138,0.950076900015336,0.856187810376159,0.862555938409347,0.72677089797776,0.85770963360678,0.936033976419302,0.782563000767511,0.806856284491776,0.902854816380458,0.906615340722772,0.918509099267914,0.166572256472398,0.999999928384366,1,0.914353482345486,0.909292912304365,0.943560591156614,0.84365947263469,0.857456852658379,0.83445806946669,0.999248613297023,0.847175295011187,0.792130323336758,0.846936482958351
"S6860",0.942811079116691,0.974491462353899,0.972964036132176,0.97103750499057,0.897148269288895,0.709316889561066,0.94893233057141,0.981586141212748,0.869040991660037,0.818299502983575,0.957887821161645,0.973489143812861,0.976056808325001,0.214039859228059,0.914352990339508,0.914353482345486,1,0.971893584965767,0.966923393111931,0.963699558226681,0.972555629726445,0.974115561598503,0.909383477817712,0.972893451656161,0.925349446500277,0.970316508141926
"S6863",0.946705426356589,0.94251510372258,0.930055902153705,0.977792950338515,0.830733381078787,0.627159632977868,0.923711531924921,0.958438281282024,0.786143931536699,0.72975682329433,0.920878591583226,0.939907744631096,0.941801050250115,0.114263423917806,0.909277883909802,0.909292912304365,0.971893584965767,1,0.964939822597138,0.962316424392947,0.973835953821921,0.960655464303121,0.901063026470549,0.974125036593939,0.949195377807256,0.971613368509471
"S6869",0.92438946137741,0.96590952673882,0.96281861446327,0.951426179536328,0.898961614194368,0.748113295264609,0.943244212259447,0.97802409697673,0.860333252147401,0.830683699789547,0.964485033361676,0.952242691704902,0.960145985977809,0.225537835392882,0.943544861719811,0.943560591156614,0.966923393111931,0.964939822597138,1,0.922757846500801,0.960609905708103,0.938017929713118,0.938118634442548,0.928593063207524,0.907684865577124,0.949613116596629
"S6870",0.974171395951819,0.926722067538148,0.912765738984361,0.980995199630277,0.878431895116236,0.649477539602469,0.945528663153199,0.956945871623065,0.823815244029022,0.780096726656776,0.915968268588525,0.958457456689057,0.955772045326621,0.21962902018291,0.843629160334669,0.84365947263469,0.963699558226681,0.962316424392947,0.922757846500801,1,0.972901622672309,0.983359840252213,0.83142309409183,0.994920554421532,0.975876771354067,0.975991614759768
"S6882",0.961958766783986,0.941334929369601,0.931462711423294,0.987915154034368,0.87654668961363,0.649629084904253,0.952942222263539,0.966572941026127,0.838944071375449,0.77679813029089,0.929639913704122,0.961466046801964,0.961717921397394,0.190354492463757,0.857402157551178,0.857456852658379,0.972555629726445,0.973835953821921,0.960609905708103,0.972901622672309,1,0.989238999889565,0.845622541913379,0.978329276483518,0.949315031338274,0.976404380956223
"S6897",0.960220707037123,0.933103057928178,0.929062504919361,0.983192077133945,0.879905593398674,0.670612494612019,0.951516642027354,0.954426525650197,0.845035335314601,0.797847927189213,0.927028118773586,0.960128282607389,0.957631794030057,0.236515059785572,0.834417075663181,0.83445806946669,0.974115561598503,0.960655464303121,0.938017929713118,0.983359840252213,0.989238999889565,1,0.823078234309763,0.986726333784644,0.959961100470944,0.982230767131502
"S6898",0.797907036845573,0.950061626880844,0.946423334052551,0.845589763447793,0.854489751982504,0.734269285115202,0.850456736581128,0.928187289124561,0.781685263749511,0.806480660875867,0.900529810549519,0.897566026694018,0.91012089359649,0.166922701218929,0.999259780933038,0.999248613297023,0.909383477817712,0.901063026470549,0.938118634442548,0.83142309409183,0.845622541913379,0.823078234309763,1,0.83668042624406,0.78057511244496,0.839747271544086
"S6900",0.965048825004464,0.929948297989948,0.919968389070009,0.980542302739376,0.867462759261772,0.645108774728468,0.951810081027593,0.954552631883474,0.833846158562996,0.767906092713129,0.925987356560753,0.959567263047772,0.955550363617968,0.221683698743005,0.84715969533498,0.847175295011187,0.972893451656161,0.974125036593939,0.928593063207524,0.994920554421532,0.978329276483518,0.986726333784644,0.83668042624406,1,0.97204680800809,0.982194407784861
"S6959",0.979755639151002,0.868880273366041,0.856609512130615,0.970483492626189,0.814604654145032,0.648990259943351,0.920386828109464,0.91403920058248,0.77848054268279,0.728014626716997,0.893981535576057,0.902084178994935,0.90018924232477,0.201213064153218,0.792132431572931,0.792130323336758,0.925349446500277,0.949195377807256,0.907684865577124,0.975876771354067,0.949315031338274,0.959961100470944,0.78057511244496,0.97204680800809,1,0.979551456198952
"S6964",0.972132544019702,0.915197965081284,0.912340293274835,0.986866242822873,0.846101476128647,0.702691873017445,0.948730512740402,0.945507570759084,0.835653515044235,0.790687804413347,0.936244712084717,0.934609729551982,0.935854892036504,0.201941042966657,0.846941885166585,0.846936482958351,0.970316508141926,0.971613368509471,0.949613116596629,0.975991614759768,0.976404380956223,0.982230767131502,0.839747271544086,0.982194407784861,0.979551456198952,1
