"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S7090",-0.257267121850651,0.479134388274607,-0.132544070306032,0.926256916405532,-0.703664481476332,NA,0.347756309417153,0.306722382351512,-0.261185631240258,0.316598332131541,1,0.397875733591304,0.356134260961578,-0.149360364013631,NA,0.361767239956916,0.171864445633635,-0.83525912733886,-0.0614249128873197,-0.151194897311692,-0.176061368528892,0.48415942268469,0.177033271619063,0.437030671709118,-0.149574935001347,0.299884675661408,-0.419243453268322,0.017417293357103,0.0603268629671201,-0.0367284727444116,-0.226631674696326,0.111380398971666,-0.295222394744487,0.0921001570563855,-0.113155684364997,-0.152932890036417,-0.156003648364001,-0.259623580657686,0.396497830003057,-0.00277054589967827,0.0876642560103844
"S7091",0.355488369882793,0.35002916597774,-0.117706658519842,0.319344755111126,-0.747083322947703,NA,-0.0681524158860829,0.248263971266247,-0.787693609110512,-0.499846000998872,0.397875733591304,1,-0.449664579033803,-0.083874883918743,NA,-0.0164513098305377,0.123701428520243,-0.23881263125381,-0.538794867818438,-0.447857858780333,-0.877818536687572,-0.400520288087933,-0.558746812339845,0.539841562311254,-0.35548771829612,0.41845345733894,-0.48950034497007,0.283308305508252,0.203368377364635,0.426106081599991,0.359291999786353,-0.384368282124811,0.00320453314707704,0.0708086722663706,0.230811611705978,-0.274229303957425,-0.853063270318398,-0.242576860641927,0.58953372368014,0.507592855287305,0.156868651414581
"S7092",-0.156326707436107,0.120400284673076,-0.313171284745557,0.401413193968838,0.120544928614069,NA,-0.031102062125263,-0.143505572226655,0.180671125632967,0.53162528889921,0.356134260961578,-0.449664579033803,1,-0.192115790336937,NA,0.335289249930922,-0.186262191844741,-0.350330490448856,0.433152393226943,0.301341329921036,0.533377217679858,0.882614119966069,0.650069343227035,-0.283662234232395,0.374840592788608,-0.00353835807736599,-0.211493798139375,-0.548220320527681,-0.136141710888978,-0.0210506781347583,-0.147602143624671,0.321216643555422,-0.194062413523534,-0.223775797878458,-0.154823828434026,0.0648735611778549,0.525074960019786,-0.245711992497388,-0.287158433421497,-0.228711413866996,-0.514011911839326
"S7095",-0.188810986450249,-0.185439140055702,-0.389432333250213,-0.166666666666667,0.172702926779008,NA,-0.394724252387839,-0.394760864872485,-0.298924479977367,-0.357593091316802,-0.149360364013631,-0.083874883918743,-0.192115790336937,1,NA,0.357795812831016,0.213605072291966,-0.0769450112124339,0.364161347159699,-0.388115482745527,-0.144401400093682,-0.312871962200052,0.295374879706613,-0.463444374332945,0.425306323917261,0.238516605152378,0.274227400976591,-0.251943656757044,-0.127493596561591,-0.221494134927416,-0.187754542411898,-0.232186157719766,0.0985982183846828,0.666666666666667,-0.478232358061285,0.196222735560823,-0.166666666666667,0.100399471733113,-0.382687372683449,-0.295334964778068,-0.282602045560115
"S7109",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"S7111",-0.0839814257788152,0.128006880295613,-0.395338945009887,0.41630971798161,-0.334275634877369,NA,0.0580761819326246,-0.0094917887716172,-0.199912092577783,0.358927619015409,0.361767239956916,-0.0164513098305377,0.335289249930922,0.357795812831016,NA,1,-0.349444891497992,-0.395907233409805,-0.0363624312256423,-0.249087342044741,0.122249045254226,0.251785668752418,0.0872730658812245,-0.484558030792791,0.484904351781936,-0.239085040633326,0.179410761975766,0.0714127811571185,0.412890617519738,0.00665418977531791,-0.0601297201670286,0.165931147400965,0.07450531607756,-0.0917384251746655,-0.748940537994384,-0.524590671940032,0.143143073505013,-0.18774839594652,0.145736460945263,0.269642893745377,-0.237506706615649
"S7112",-0.497047184750316,-0.0204236735952357,0.372284662725121,0.224656485729797,-0.013723554882638,NA,-0.314945541992196,-0.00878597793487986,-0.0943335826623873,-0.471117428446968,0.171864445633635,0.123701428520243,-0.186262191844741,0.213605072291966,NA,-0.349444891497992,1,-0.421549567216777,-0.196415642490293,-0.24882147539844,-0.447281496528241,-0.0841433048322201,0.240113497815123,0.542425589976677,0.247022256167825,0.699599693295421,0.202830241248939,-0.156840137476961,-0.524650532457026,-0.439898263773873,-0.50559798496694,-0.282298173848969,0.0744792072777189,0.131377469889411,0.403183732363132,0.623631357227678,-0.493835009306783,-0.330219931377148,-0.113389537150616,-0.751392200170588,0.350650087106194
"S7113",0.20285016099563,-0.577008638733163,0.0731412525358797,-0.947932278945318,0.419389057595994,NA,-0.109668877765923,-0.400183722679503,0.185802951609456,-0.138594282132934,-0.83525912733886,-0.23881263125381,-0.350330490448856,-0.0769450112124339,NA,-0.395907233409805,-0.421549567216777,1,0.0561090416736921,0.290656850382415,0.140881663960773,-0.421558052641879,-0.331063007954938,-0.347562279104998,-0.177777853343061,-0.49154332582687,0.0942413723543306,0.271126330799443,0.313370638881346,-0.013971045650491,0.174498710734848,-0.00511735589145301,0.22171051161458,-0.0168739706156984,-0.00908343352100639,-0.187152522556307,0.156616376399728,0.238266485155982,-0.339797970169872,0.267487246873438,-0.0717649785448893
"S7116",-0.0593304614293151,-0.182174084383313,-0.329847893928494,-0.134728491585513,0.466933511326447,NA,0.0987517858239084,-0.288846005345191,0.275403666199683,0.288372184803694,-0.0614249128873197,-0.538794867818438,0.433152393226943,0.364161347159699,NA,-0.0363624312256423,-0.196415642490293,0.0561090416736921,1,0.363196646672861,0.562119468356264,0.329787953171201,0.753196372853622,-0.398833746526721,-0.0356503274797064,0.0109531127505673,-0.209097217297402,-0.565050166847654,-0.29141178242783,-0.0567954444037178,-0.0545995482555298,0.268320737142744,-0.214588541427808,0.637186475458425,-0.285681369769907,0.3327586559682,0.546113256997724,0.441720387113181,-0.539485337984721,-0.308087195375152,-0.537856544003199
"S7124",-0.200580229202517,-0.429139251135779,0.32112176142492,-0.160025483566072,0.0786639831351883,NA,0.405778726896858,-0.279657789904385,0.474820468531891,0.607663423057692,-0.151194897311692,-0.447857858780333,0.301341329921036,-0.388115482745527,NA,-0.249087342044741,-0.24882147539844,0.290656850382415,0.363196646672861,1,0.490033223526683,0.139959326031674,0.411520470618129,0.105399100614808,-0.279382419926268,-0.485207731881811,-0.29309480264387,-0.0415087126283068,0.275399105224218,-0.245360003211311,-0.21039049709213,0.878781777217563,0.500414468652012,-0.125441852006622,-0.179063446486201,-0.209701162037236,0.489855934510571,-0.0940217838171628,-0.409725811283099,-0.00897988115995438,-0.280963376352247
