"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S2432",0.595885687906434,0.964188067494403,0.598723978709117,0.699797259534156,0.726523013930172,0.74294403022565,0.769027148274113,0.969435927645879,0.745351926419296,0.805916020483873,0.240436232596819,0.856932777872753,0.854686795887387,0.945658634257279,0.97109067109623,1,0.995752718791114,0.996295405881339,0.995978287936345,0.995905205146223,0.969795388281734,0.921250476717845,0.988327472050768,0.969779496999581,0.969779496999581,0.987330464079471,0.997688753777637,0.893298144853403,0.849780915095351,0.990692344069263,0.978817240155541,0.92525790855596
"S2445",0.556804031214464,0.946579554206591,0.548842703519572,0.659611910507805,0.683149081987669,0.697385197910526,0.728098827313011,0.953347183894165,0.697523261725089,0.764400337222156,0.209661156650209,0.823074853749101,0.824727037399634,0.925612204991238,0.962194810754407,0.995752718791114,1,0.999373886244753,0.995037348770625,0.998166638976475,0.968599782322271,0.912640759740001,0.982265318435435,0.953666009522599,0.953666009522599,0.986005507983299,0.995723152902656,0.89046829297984,0.833894739097575,0.989762206170639,0.967363089191697,0.921140398702207
"S2463",0.551927868913668,0.946588309048543,0.546104196913885,0.657155587217203,0.682577618169477,0.700071324859302,0.729055232746031,0.953521338136642,0.700699939318112,0.765090805379795,0.203179487750582,0.828321326395885,0.829223259118431,0.927422519724988,0.965866164073433,0.996295405881339,0.999373886244753,1,0.995529554488228,0.999647575575512,0.970563708447957,0.908979538722675,0.983990401392413,0.955518548855931,0.955518548855931,0.985953904064796,0.995852887006918,0.88955918723619,0.829972677966933,0.990025770836691,0.970383050202278,0.924259913517493
"S2478",0.547102080946885,0.94848348287233,0.543187040105459,0.653218118193773,0.685275476234773,0.700695820309403,0.729057921409082,0.95536442678843,0.700902694415212,0.764853165304323,0.211729592043648,0.831595441435704,0.825918141057152,0.920922339963392,0.975647689583026,0.995978287936345,0.995037348770625,0.995529554488228,1,0.995279142818165,0.984177016792441,0.934040641925383,0.98819824060626,0.958850995989314,0.958850995989314,0.992950282823775,0.996018712597989,0.914469240574026,0.840774702449102,0.99404975188106,0.977015775378688,0.947680699134245
"S2580",0.549749949761495,0.946254840282419,0.544862269152267,0.65635876959819,0.68329138861067,0.702822449906985,0.729891625148213,0.953464163159003,0.703324239479106,0.76560409309101,0.200539720357746,0.832992624847959,0.8329305043498,0.92857629392775,0.968335599771996,0.995905205146223,0.998166638976475,0.999647575575512,0.995279142818165,1,0.972100006430719,0.905015063968711,0.985405512233885,0.957306130299244,0.957306130299244,0.986102298685668,0.995473676452587,0.889668059503191,0.824786523963348,0.989014316435434,0.973070888126288,0.926909314783739
"S2581",0.481971719609466,0.919411168870759,0.478200623531211,0.597255799493684,0.641629282462056,0.662714252767231,0.691176819101871,0.927497629584814,0.655181740505995,0.720042555433651,0.174606114248911,0.796066468976635,0.795900363032627,0.8736400194539,0.982638162985988,0.969795388281734,0.968599782322271,0.970563708447957,0.984177016792441,0.972100006430719,1,0.941743952526408,0.983958896215162,0.940401308003805,0.940401308003805,0.987894210543259,0.975532450272297,0.94237071123302,0.80471234397645,0.981626031324991,0.966478545881028,0.978743418180145
"S2611",0.520794710143466,0.890940871545198,0.520785803653193,0.611638129281205,0.640729091844417,0.646199905427652,0.685509890428846,0.892834622266423,0.638734146463099,0.710446453465483,0.320772967309352,0.758403466833246,0.762199124042742,0.811102145065433,0.927950037956612,0.921250476717845,0.912640759740001,0.908979538722675,0.934040641925383,0.905015063968711,0.941743952526408,1,0.922165750275287,0.894297710372164,0.894297710372164,0.94223926561263,0.914069001672869,0.947153886789718,0.919093993201599,0.95372890855243,0.910502120064281,0.950903273306714
"S2628",0.58894549373735,0.963523784431895,0.594984107052631,0.701076252917811,0.731151827288083,0.75228173650205,0.777376774534573,0.96875184984184,0.749703706481797,0.807575611487517,0.249757315237355,0.859075731671278,0.863620829219561,0.935283262803435,0.97651191082726,0.988327472050768,0.982265318435435,0.983990401392413,0.98819824060626,0.985405512233885,0.983958896215162,0.922165750275287,1,0.972019649534345,0.972019649534345,0.989743374904008,0.990227095007201,0.919243765731075,0.822151260040858,0.982373997526767,0.983738983593061,0.949893460903728
"S2709",0.726884307993246,0.988625666616809,0.726888142535452,0.817154835096481,0.846361865121271,0.862073992945119,0.873578232901003,0.991769736813861,0.852359587627824,0.891682682762546,0.401004983410278,0.944974385708169,0.945673419114131,0.973379129375663,0.970131955324926,0.969779496999581,0.953666009522599,0.955518548855931,0.958850995989314,0.957306130299244,0.940401308003805,0.894297710372164,0.972019649534345,1,1,0.959426606970764,0.967426594138791,0.907536968398685,0.86758845628663,0.950529477350777,0.99186522721827,0.916425757060697
"S2715",0.726884307993246,0.988625666616809,0.726888142535452,0.817154835096481,0.846361865121271,0.862073992945119,0.873578232901003,0.991769736813861,0.852359587627824,0.891682682762546,0.401004983410278,0.944974385708169,0.945673419114131,0.973379129375663,0.970131955324926,0.969779496999581,0.953666009522599,0.955518548855931,0.958850995989314,0.957306130299244,0.940401308003805,0.894297710372164,0.972019649534345,1,1,0.959426606970764,0.967426594138791,0.907536968398685,0.86758845628663,0.950529477350777,0.99186522721827,0.916425757060697
"S2723",0.562148039088734,0.94138878264513,0.549923584392415,0.659676004562696,0.691677166813462,0.703364630461473,0.729518943547689,0.948781807059186,0.699276615102584,0.763492620031267,0.25132178302928,0.826779483092051,0.822956096017881,0.904601856135621,0.975748817424098,0.987330464079471,0.986005507983299,0.985953904064796,0.992950282823775,0.986102298685668,0.987894210543259,0.94223926561263,0.989743374904008,0.959426606970764,0.959426606970764,1,0.988751635865559,0.925110450425859,0.842000002332083,0.988796449384785,0.975870056789045,0.957474700146344
"S2740",0.585987516904799,0.960915465350532,0.584082349253302,0.691067819800799,0.721507776424988,0.736412391827003,0.764384206672042,0.966876626032432,0.737347881785556,0.79979444421675,0.216757092138002,0.846391921797214,0.846009179765345,0.941823625292725,0.973161982503302,0.997688753777637,0.995723152902656,0.995852887006918,0.996018712597989,0.995473676452587,0.975532450272297,0.914069001672869,0.990227095007201,0.967426594138791,0.967426594138791,0.988751635865559,1,0.893509114739902,0.824865857296124,0.98758361369139,0.976765947709286,0.926443100601967
"S2768",0.530569899459776,0.890524033979556,0.507934597043457,0.623955083612857,0.656869348381975,0.666757181886932,0.69496209561356,0.896111593448941,0.641225346285248,0.694901000935022,0.387773372112975,0.808706899259101,0.812229451134804,0.81459387172509,0.929616511095782,0.893298144853403,0.89046829297984,0.88955918723619,0.914469240574026,0.889668059503191,0.94237071123302,0.947153886789718,0.919243765731075,0.907536968398685,0.907536968398685,0.925110450425859,0.893509114739902,1,0.868978767634387,0.918669088224537,0.933655467320335,0.981767028319659
"S2783",0.684879657946954,0.872941753600418,0.673669506653118,0.73252923963216,0.733751719859862,0.731818747311142,0.759031509555115,0.869771602277976,0.720303623268935,0.766850804921282,0.573839729713994,0.822196975349188,0.828689295485112,0.810535337790838,0.838984030089341,0.849780915095351,0.833894739097575,0.829972677966933,0.840774702449102,0.824786523963348,0.80471234397645,0.919093993201599,0.822151260040858,0.86758845628663,0.86758845628663,0.842000002332083,0.824865857296124,0.868978767634387,1,0.867932959298856,0.857521093966336,0.835605518471742
"S2803",0.526905373325297,0.940197788388317,0.529737309161427,0.635830531126532,0.665541139454578,0.685110962941205,0.716915852710019,0.945792323630583,0.682822341714331,0.751738620560359,0.210298039668195,0.811948979501461,0.81671618780821,0.901904923112165,0.977165708770975,0.990692344069263,0.989762206170639,0.990025770836691,0.99404975188106,0.989014316435434,0.981626031324991,0.95372890855243,0.982373997526767,0.950529477350777,0.950529477350777,0.988796449384785,0.98758361369139,0.918669088224537,0.867932959298856,1,0.966962947377528,0.949806027368373
"S2813",0.650427709225446,0.974500819645197,0.647784978440121,0.74976645576918,0.78305045486026,0.802175136411259,0.814776338832323,0.980231575615974,0.79309667937102,0.836006312966781,0.344620941865801,0.919749455623229,0.912863846770673,0.953857114244589,0.98092037914643,0.978817240155541,0.967363089191697,0.970383050202278,0.977015775378688,0.973070888126288,0.966478545881028,0.910502120064281,0.983738983593061,0.99186522721827,0.99186522721827,0.975870056789045,0.976765947709286,0.933655467320335,0.857521093966336,0.966962947377528,1,0.950724548345236
"S2855",0.469992819566947,0.890128197814367,0.457468199290622,0.576955435642795,0.621035641680842,0.641678556609252,0.666987518045902,0.897937171957308,0.625665404537957,0.681108199886952,0.270867580496651,0.795528046569205,0.791546732862566,0.824196565458393,0.960499843907538,0.92525790855596,0.921140398702207,0.924259913517493,0.947680699134245,0.926909314783739,0.978743418180145,0.950903273306714,0.949893460903728,0.916425757060697,0.916425757060697,0.957474700146344,0.926443100601967,0.981767028319659,0.835605518471742,0.949806027368373,0.950724548345236,1
