"","S1177","S1193","S1242","S1249","S1251","S1277","S1288","S1397","S1427","S1438","S1542","S1917","S2081","S2172","S2292","S2432","S2445","S2463","S2478","S2580","S2581","S2611","S2628","S2709","S2715","S2723","S2740","S2768","S2783","S2803","S2813","S2855"
"S1542",0.519059219717746,-0.260869441435858,0.399428585237667,0.536927869151429,0.542845506483454,0.370644286683853,-0.420728829262236,NA,-0.680796497024209,0.158310706575108,1,0.165288464260058,-0.101225060839575,0.623859260280491,-0.691564957989869,0.254973923759879,0.406602752926003,0.522280396387716,-0.526299906852116,0.424743327420679,0.711514041145868,-0.60929818160156,-0.392684509451977,0.128642631383866,0.424086769860997,0.545224141599436,0.149372074258054,-0.382102645312415,0.38353663662965,0.673707956898174,0.0870649259996653,-0.143063760693272
"S1917",0.268125688325516,-0.336328905201324,-0.169923061650374,0.385743705546101,0.228795280213997,0.0309371996339741,-0.342840716485929,NA,0.390542178198276,-0.185007905142658,0.165288464260058,1,-0.191117654693633,0.0244309099321264,-0.397368687796827,0.0762710384573634,-0.10394037333283,0.0494818624512861,-0.0590776426854328,0.180109231357075,0.0501914035647054,0.0506355358242195,-0.178316597786049,-0.753611739840783,-0.163770380315822,0.786986765313996,-0.139769250214737,-0.199396400548677,0.131156715834834,0.313762807415617,0.352366853587617,-0.547483324215315
"S2081",-0.211862006577541,0.0649617734040521,0.272241502802461,-0.0432152195983117,0.104403640531224,-0.624624501699881,0.193689304236714,NA,0.0279686104603047,-0.319922940203523,-0.101225060839575,-0.191117654693633,1,-0.0709632972325393,0.211273837734177,-0.285560563811106,-0.301107480984646,-0.250133435023149,0.0167073794903234,0.109477309744424,0.182761955294481,-0.0561181602247904,-0.0129754941766297,-0.0542591939827844,0.0378720282271469,-0.298330323262545,-0.225563764446138,0.0891668714364455,-0.347961128654558,-0.0252091524476589,-0.298475935007992,0.264811144098462
"S2172",0.190310948802782,0.440523776424745,0.621289999107068,0.360513882718827,-0.0615927334679864,0.433641349484114,-0.0698799386632692,NA,-0.615398213125444,0.103027645691883,0.623859260280491,0.0244309099321264,-0.0709632972325393,1,-0.186948783178654,-0.34500008814341,0.17935986707022,0.284628708802913,-0.368524080570285,0.484022560414601,0.576769344633567,-0.675203365733374,0.239775184372561,0.257820095060131,0.21823263542988,0.327642651900716,-0.0850312766676046,0.0128772590805247,0.0635968706898496,0.38355461224713,-0.18273294977627,0.0933554276145313
"S2292",-0.203672662409588,0.666156765521067,0.0258601319275185,-0.37043913815091,-0.744339813092689,-0.389800568696408,0.719032775561725,NA,0.111509134701885,-0.204311992565301,-0.691564957989869,-0.397368687796827,0.211273837734177,-0.186948783178654,1,-0.584524286717558,-0.265281537771472,-0.695079647988112,-0.0471686648931448,-0.583627775701624,-0.242695418386338,0.217695862880943,0.707317230311321,-0.0321860263666434,-0.574699861554439,-0.652575932935991,-0.0178239684993653,0.572751614050761,-0.0993676320693499,-0.42416526926358,-0.326316801615341,0.518852631593885
"S2432",0.0184835971921536,-0.885294655283801,-0.108136792121205,0.342023933376406,0.386305131957726,-0.0653245288517048,-0.156366675015222,NA,0.153417309703809,0.375197844715734,0.254973923759879,0.0762710384573634,-0.285560563811106,-0.34500008814341,-0.584524286717558,1,-0.0485546072587287,0.526381072767509,-0.0621681602774942,0.295963647963273,0.0552049799587479,-0.123133110230372,-0.73997423862398,-0.0302221598205131,0.257665567275584,0.135999283518944,0.353887582893599,-0.527225047294807,0.215576996586382,-0.130504855335601,0.135124310646984,-0.475810248990164
"S2445",0.143212887911322,0.0171009862124045,0.0324166545767932,-0.267601352845265,-0.00570922564943267,0.712353452827409,-0.576657615047866,NA,-0.68812931622202,0.142505443328287,0.406602752926003,-0.10394037333283,-0.301107480984646,0.17935986707022,-0.265281537771472,-0.0485546072587287,1,0.204125355977835,-0.116704726391342,-0.306884018970552,0.428370964703068,0.21475106112141,-0.0378691870406198,0.159595445027093,0.432410110148725,0.053681513672496,0.315505462056818,-0.33841005187697,0.341959763515923,0.795730733948745,0.722351563980373,0.320873363888728
"S2463",-0.0270113262997401,-0.374371604124604,0.346742142308819,0.308321640579141,0.356577579313905,0.554719564204142,-0.513394456320213,NA,-0.235002785513571,0.80573799786295,0.522280396387716,0.0494818624512861,-0.250133435023149,0.284628708802913,-0.695079647988112,0.526381072767509,0.204125355977835,1,-0.00517574708140594,0.371332879828479,0.36836895024964,-0.456793937148704,-0.643113695577333,0.0328066380623606,0.30816713441865,0.50791872855371,0.566901889857048,-0.480636634841008,0.367531008001305,0.194535712123464,0.0659715462798711,-0.651562092636943
"S2478",-0.726683958375289,0.0730793758745405,-0.657021327465904,-0.728125996251251,0.119318146886983,0.0983759879111603,-0.0770041044459216,NA,0.467201188547109,0.0543910440883541,-0.526299906852116,-0.0590776426854328,0.0167073794903234,-0.368524080570285,-0.0471686648931448,-0.0621681602774942,-0.116704726391342,-0.00517574708140594,1,0.105276729085598,-0.711297838508757,0.67153471344639,0.167985953386252,0.129066354693575,-0.0493497222685539,-0.103942097711848,-0.353239634544392,-0.227005886053946,-0.706060190660309,-0.372849727145669,-0.00187063866201889,-0.170525083501472
"S2580",-0.167618927179435,-0.265399199874665,0.200046110272248,0.402644809906442,0.363884327345763,-0.0473737242770724,-0.0573541786389446,NA,0.032209315245017,-0.0303561578864157,0.424743327420679,0.180109231357075,0.109477309744424,0.484022560414601,-0.583627775701624,0.295963647963273,-0.306884018970552,0.371332879828479,0.105276729085598,1,0.146844692839204,-0.449052774630258,-0.214463812024137,0.250787128479514,0.424069543105079,0.284713126739734,-0.420566511322485,-0.323530055925734,-0.458024174558038,-0.0827640181947638,-0.249416198839291,-0.252927568097848
"S2581",0.278885279371909,-0.0814649508839456,0.770043131540742,0.479219392256811,-0.0442010311655288,0.193653262795787,-0.183006667893879,NA,-0.721778158821109,0.224898971915023,0.711514041145868,0.0501914035647054,0.182761955294481,0.576769344633567,-0.242695418386338,0.0552049799587479,0.428370964703068,0.36836895024964,-0.711297838508757,0.146844692839204,1,-0.590685540650347,-0.209931264424736,-0.141307443141037,0.268649765139409,0.220175138260625,0.454650795153333,-0.301173746795327,0.498372853322875,0.688196641414906,0.19320119817843,0.101251148442678
"S2611",-0.440480891318353,1.62998929845209e-05,-0.811807117410101,-0.804925778917463,-0.0974618898941908,-0.028920823532697,-0.0411166107545336,NA,0.365873109450098,-0.264462652743682,-0.60929818160156,0.0506355358242195,-0.0561181602247904,-0.675203365733374,0.217695862880943,-0.123133110230372,0.21475106112141,-0.456793937148704,0.67153471344639,-0.449052774630258,-0.590685540650347,1,0.288885836838564,-0.152942870913522,-0.17013575003276,-0.275929072822623,-0.231784887363157,-0.171610681148552,-0.403268818926932,-0.0585358973886352,0.426536115294939,0.190031542934999
"S2628",-0.319018224360098,0.841206643094991,-0.165243553686488,-0.519912919325267,-0.584613920016051,-0.0299056734829484,0.593147322923735,NA,-0.11286357569358,-0.286770118608147,-0.392684509451977,-0.178316597786049,-0.0129754941766297,0.239775184372561,0.707317230311321,-0.73997423862398,-0.0378691870406198,-0.643113695577333,0.167985953386252,-0.214463812024137,-0.209931264424736,0.288885836838564,1,0.0892846200798283,-0.476099603154314,-0.346080196706299,-0.373850750404037,0.245061502512149,-0.41670271812108,-0.146700855017591,-0.247685404373978,0.521788254037782
"S2709",-0.0499193479678106,0.228252464385518,0.0611615744729157,-0.180907037275589,0.0751977151222788,0.197159220144601,0.0240604947921236,NA,-0.373961047446232,-0.0665750963607992,0.128642631383866,-0.753611739840783,-0.0542591939827844,0.257820095060131,-0.0321860263666434,-0.0302221598205131,0.159595445027093,0.0328066380623606,0.129066354693575,0.250787128479514,-0.141307443141037,-0.152942870913522,0.0892846200798283,1,0.550507547577849,-0.491890396664681,-0.287241367792575,0.207495407809239,-0.310100026243462,-0.182508256038566,-0.228331055496493,0.492051944155748
"S2715",0.143936744279604,-0.365268843800699,0.25572312215023,0.215814615789716,0.264464301576542,0.287223533642766,-0.617047946621138,NA,-0.285915302848641,-0.165321178438074,0.424086769860997,-0.163770380315822,0.0378720282271469,0.21823263542988,-0.574699861554439,0.257665567275584,0.432410110148725,0.30816713441865,-0.0493497222685539,0.424069543105079,0.268649765139409,-0.17013575003276,-0.476099603154314,0.550507547577849,1,-0.0745977409855298,-0.163433439854615,-0.091793276200598,-0.0693123110493579,0.359131694070752,0.45485528616145,0.261028010795186
