"","S1133","S1157","S1159","S2247","S2252","S2257","S2290","S3715","S3723","S4684","S4690","S4692","S4693","S4707","S4723","S5017","S5513","S810","S811","S813","S819","S892","S894","S903"
"S4690",0.92949545575087,0.906259110547451,0.856868373277681,0.618789483562049,0.167335569275001,0.437977228370091,0.261442743358995,0.302609296750714,0.182208022643012,0.426932212507051,1,0.776435029673366,0.95233311700779,0.904338574116099,0.721550127055962,0.662175418935224,0.336284861532524,-0.157119615461574,0.0365260974146556,0.459283649256985,0.0282003870090052,0.166294434379307,0.11120584420148,0.187282273855325
"S4692",0.72496630618537,0.751934959038765,0.757902850500342,0.787955804745352,0.0927101210080949,0.21617151327478,0.144435053473638,0.480122604482805,0.0207841614203581,0.187899025478984,0.776435029673366,1,0.747259859983276,0.724864320222653,0.824081033794415,0.759722652689354,0.311622800267575,-0.0206314358972471,-0.0852679939855777,0.4211654812719,0.0901223087372485,0.27205251081712,0.181210951913807,0.254121655309881
"S4693",0.98264226094622,0.91627491152517,0.818355733144937,0.471600862257116,0.313430340176731,0.552121016963284,0.439369364926803,0.256615722587823,0.352571793087293,0.568928964724049,0.95233311700779,0.747259859983276,1,0.965512380382363,0.673968132880524,0.699885682532327,0.468599559176698,0.101999277850426,0.228881308099,0.520775728236715,0.0570726879168918,-0.0616719745100968,0.248798338074096,0.317888377920304
"S4707",0.916159829240483,0.899271467954413,0.802732525504385,0.417749693521795,0.385668575779273,0.649907218677904,0.468889949843997,0.27469672014314,0.4338602063955,0.612648901087098,0.904338574116099,0.724864320222653,0.965512380382363,1,0.72473301237037,0.788120867395006,0.451007062819372,0.185569335170067,0.260175314521368,0.47954929782684,0.0798776668102145,-0.0664973810837284,0.290478890914203,0.372677435248573
"S4723",0.656923127901028,0.625248088513501,0.58030527885625,0.672577040179693,0.367273053841474,0.541110595881711,0.372228933755566,0.381906287571779,0.228157833262852,0.472807016154525,0.721550127055962,0.824081033794415,0.673968132880524,0.72473301237037,1,0.851151858645848,0.447628822210461,-0.023626667357798,0.0796388970474443,0.329727529801907,-0.204639569496265,0.297163025648102,0.243491223752441,0.489171738304163
"S5017",0.644708567661968,0.690329914681116,0.61303281924159,0.576510257730458,0.52372306901092,0.682961476992301,0.546307308868752,0.476965277705905,0.517577750139094,0.600444657195985,0.662175418935224,0.759722652689354,0.699885682532327,0.788120867395006,0.851151858645848,1,0.607589465957973,0.295753628291657,0.339687785023482,0.472446336025679,0.0515277130520766,0.0275391478821759,0.564498944887747,0.667167284840258
"S5513",0.491535609825638,0.438146784782778,0.261721781150062,0.308414216443423,0.760269905646824,0.666051355364637,0.890523694170968,0.316962298795856,0.771968646781114,0.775479868859553,0.336284861532524,0.311622800267575,0.468599559176698,0.451007062819372,0.447628822210461,0.607589465957973,1,0.489888772680857,0.775919028589121,0.594145820201709,-0.0183507396061876,-0.110775512986296,0.886779187375292,0.933309238015088
"S810",0.0780847770065662,0.0214611139002884,-0.136829933979589,-0.206805828882751,0.580931976324293,0.428134834267094,0.551900788190993,0.116093048203105,0.633846689509476,0.445438971752106,-0.157119615461574,-0.0206314358972471,0.101999277850426,0.185569335170067,-0.023626667357798,0.295753628291657,0.489888772680857,1,0.634403980144694,0.333730126143682,0.384814465133009,-0.514472224082886,0.575198452611909,0.540339778462932
"S811",0.224309908953538,0.277914671375133,0.132887863619391,-0.0809759621075486,0.924383971912628,0.768836539488851,0.897422926498235,0.367381814883465,0.95546561766359,0.847193739389393,0.0365260974146556,-0.0852679939855777,0.228881308099,0.260175314521368,0.0796388970474443,0.339687785023482,0.775919028589121,0.634403980144694,1,0.681283015935459,0.183625255471646,-0.473091161621441,0.801960999223728,0.76074145733501
"S813",0.474712813050635,0.697961720639628,0.655999999869608,0.542899545568665,0.680429910032318,0.549998509197941,0.599441389264498,0.837786606050895,0.67924017979619,0.609415226743922,0.459283649256985,0.4211654812719,0.520775728236715,0.47954929782684,0.329727529801907,0.472446336025679,0.594145820201709,0.333730126143682,0.681283015935459,1,0.552372456825477,-0.0784742320790196,0.618791873617059,0.49837609030838
"S819",-0.0615097312449647,0.294909954372399,0.344940068698702,0.292797281199769,0.12403123319341,-0.0397333040645179,-0.0821147697424045,0.626578205887911,0.241830049606926,-0.0982993391540861,0.0282003870090052,0.0901223087372485,0.0570726879168918,0.0798776668102145,-0.204639569496265,0.0515277130520766,-0.0183507396061876,0.384814465133009,0.183625255471646,0.552372456825477,1,0.108727902219206,0.267064484411026,-0.0690872838364774
"S892",-0.107542149526076,0.0978109879687128,0.207688181442967,0.615363836367353,-0.303140934935597,-0.332504092846499,-0.407457352146428,0.257074271378342,-0.378726071659769,-0.410911082674706,0.166294434379307,0.27205251081712,-0.0616719745100968,-0.0664973810837284,0.297163025648102,0.0275391478821759,-0.110775512986296,-0.514472224082886,-0.473091161621441,-0.0784742320790196,0.108727902219206,1,-0.107728648959894,-0.138147293502333
"S894",0.21015983470519,0.356306109037876,0.235037930415021,0.265360470570885,0.730911265311728,0.571957874681015,0.797400315112679,0.486076653386714,0.822972354232511,0.63223949015046,0.11120584420148,0.181210951913807,0.248798338074096,0.290478890914203,0.243491223752441,0.564498944887747,0.886779187375292,0.575198452611909,0.801960999223728,0.618791873617059,0.267064484411026,-0.107728648959894,1,0.895362004880336
"S903",0.313284001416459,0.303370018891538,0.13879259310982,0.255779862340925,0.784459739973553,0.702139551913676,0.903464497885124,0.337907566278904,0.788495386104657,0.770518686363445,0.187282273855325,0.254121655309881,0.317888377920304,0.372677435248573,0.489171738304163,0.667167284840258,0.933309238015088,0.540339778462932,0.76074145733501,0.49837609030838,-0.0690872838364774,-0.138147293502333,0.895362004880336,1
