"","S8045","S8090","S8091","S8092","S8093","S8094","S8095","S8096","S8097","S8098","S8099","S8100","S8101","S8102","S8103","S8104","S8105","S8108","S8109","S8110","S8114","S8115","S8116","S8119","S8120","S8121","S8122","S8123","S8124","S8126","S8128","S8129","S8130","S8131","S8132","S8134","S8135","S8136","S8138"
"S8099",0.993675224289497,0.998770937359249,0.998264711689952,0.999784875764076,0.999180149287847,0.999599592086757,0.999677662932772,0.999861241985798,0.999471905655637,0.998878520950768,1,0.997745478089994,0.998359777487392,0.998043557325946,0.995622334608061,0.999016327874282,0.999440350743151,0.999546970516512,0.994813836541071,0.988671986182213,0.962786725827552,0.966078892246285,0.981791493078773,0.964170726463558,0.964855031005823,0.967272312470001,0.977331259391985,0.966045567282688,0.990036094139676,0.969218446773742,0.991703644487773,0.990246343119219,0.987980081299642,0.985635673783634,0.986770110530602,0.999283512838735,0.984464285245309,0.978880754683472,0.99895775077965
"S8100",0.997685844440066,0.99480807364911,0.993900247535373,0.997763905610094,0.995978684978622,0.998549059298094,0.997620528690757,0.997813320811083,0.99890042572374,0.999589847456614,0.997745478089994,1,0.999635083875498,0.999851983317218,0.999134359145997,0.996273113989756,0.99847397578259,0.996899173930283,0.998839456469865,0.995181535518463,0.976530073333629,0.979142805650255,0.990744968790404,0.977294965656425,0.97788020315958,0.979974173387694,0.987696453208441,0.97856564445139,0.996269852342783,0.980723252091828,0.997042196200442,0.995813205467216,0.994391348963951,0.992735534027762,0.993528786203041,0.997135925470966,0.992038631385613,0.988400885158419,0.998856548180731
"S8101",0.997771756023929,0.995674361828818,0.994819997345796,0.998351229880813,0.996890488926674,0.998863980027086,0.998168465452107,0.998319719489586,0.999474264105724,0.99961084443474,0.998359777487392,0.999635083875498,1,0.99983710440434,0.999122952769062,0.99727564141242,0.999134955446466,0.997788092290161,0.998054295215743,0.993605920900939,0.973894362498154,0.976556133635719,0.989221407495416,0.974881927292578,0.975585351643284,0.977690109042336,0.986074633845908,0.976335033008653,0.995644297072987,0.979166862842637,0.996791826191353,0.995797665047404,0.994259250340546,0.992326158779807,0.993189952519898,0.998111300926819,0.991661699221079,0.987108243622252,0.999527835269837
"S8102",0.997730232154954,0.995112538478873,0.994227470085948,0.998023642504674,0.996255591545179,0.998738162388183,0.997845403918373,0.998055944377536,0.999232150214349,0.99978908283158,0.998043557325946,0.999851983317218,0.99983710440434,1,0.999303486586948,0.996540577546114,0.998795727209107,0.997198162294011,0.99888090767143,0.995144628989815,0.976433710632804,0.978909996949407,0.990789795567882,0.977112313366992,0.977559519205227,0.979552015904294,0.987646829040155,0.978382692471331,0.996209308202148,0.980609360563036,0.996940797169821,0.995848542381297,0.994335183943548,0.992733880527373,0.993593705682122,0.997508733125366,0.992052477957326,0.988321405604292,0.999136229806139
"S8103",0.999024980108164,0.991633985844101,0.990468117718264,0.995549265668536,0.993396557150013,0.996760688863754,0.995218234245667,0.995509634058297,0.997725137964889,0.998553151306011,0.995622334608061,0.999134359145997,0.999122952769062,0.999303486586948,1,0.994112815261724,0.997078944278218,0.994495099255079,0.999085323810204,0.996629025169399,0.982102565201286,0.984239724664269,0.994195258245665,0.982806470451879,0.983389987662394,0.985129933226847,0.991892798155911,0.983731296255313,0.998098258808208,0.986095794322856,0.998788560206452,0.998062297105506,0.997068185824193,0.995893685844121,0.996595364520782,0.995294950669954,0.995552555323408,0.99247091694708,0.99787714022844
"S8104",0.9928493087067,0.998114080742016,0.997414342662618,0.998878287719761,0.998169941143959,0.998253693840747,0.998447754275954,0.998868455200431,0.99843875159724,0.997192621763858,0.999016327874282,0.996273113989756,0.99727564141242,0.996540577546114,0.994112815261724,1,0.999318980188024,0.999559311467029,0.992437847691252,0.985288017248012,0.957606628095377,0.961181871731744,0.97821330272008,0.959200370033803,0.960448484857229,0.962909858000346,0.973469806177186,0.961393753081117,0.98780749700683,0.96525258041868,0.990129972734311,0.989358747828264,0.987249571463657,0.984162953117024,0.985221873126844,0.999833427950045,0.982899330990667,0.975547852520412,0.998894886582228
"S8105",0.995531287604681,0.997884205140203,0.997177743894997,0.999401586450065,0.998339911923723,0.999354792471805,0.998979961116822,0.999404482517839,0.99968631924352,0.999144898683743,0.999440350743151,0.99847397578259,0.999134955446466,0.998795727209107,0.997078944278218,0.999318980188024,1,0.999437808691294,0.995901181372263,0.99028329505501,0.96637566616662,0.969328479797501,0.984312882542795,0.967388422187764,0.968286645438104,0.970466141126186,0.980213549602522,0.969238517304585,0.991989104846602,0.972226206387571,0.99364112100602,0.992619283160921,0.990568700435728,0.988223708869246,0.989210621751432,0.999743006947069,0.987162155067883,0.981459929201237,0.999844769140741
"S8108",0.992747304804193,0.999162023800051,0.99872426334621,0.999730747003984,0.999350918637598,0.999119702495252,0.999498802395564,0.999660962868852,0.999094750167998,0.998019447934759,0.999546970516512,0.996899173930283,0.997788092290161,0.997198162294011,0.994495099255079,0.999559311467029,0.999437808691294,1,0.993403600166709,0.986383890550558,0.958823988143283,0.96215097338266,0.979147799716304,0.960260851641736,0.96125685661953,0.963758338605001,0.974404945809476,0.96259831264467,0.988530959846972,0.966048318872672,0.990312625753141,0.989061989167497,0.986790006900323,0.98397520467118,0.985111609911055,0.999692445016998,0.982624893461456,0.976145365373136,0.999036194604705
"S8109",0.997299886630865,0.990971931744996,0.989837638109179,0.994988324382588,0.992369653510586,0.996353516291694,0.994859026312877,0.994968693503998,0.996833553444926,0.99839450522097,0.994813836541071,0.998839456469865,0.998054295215743,0.99888090767143,0.999085323810204,0.992437847691252,0.995901181372263,0.993403600166709,1,0.998505104264574,0.984322348744335,0.986046265493642,0.995340083513347,0.984286275947605,0.984228025263459,0.985919534324476,0.992522690774976,0.984957626654408,0.997569502102243,0.986227093470853,0.997139835909411,0.996218170485036,0.995461281316748,0.994589687512462,0.995459683523922,0.993796734790413,0.994124604681085,0.992562067769777,0.996559517170889
"S8110",0.994287052888156,0.983858687178933,0.982483096601206,0.988873683372596,0.985466628311536,0.991299595565043,0.988535895104757,0.988831413480216,0.991777015402615,0.994362366169693,0.988671986182213,0.995181535518463,0.993605920900939,0.995144628989815,0.996629025169399,0.985288017248012,0.99028329505501,0.986383890550558,0.998505104264574,1,0.991341077081377,0.991905469060961,0.998105091238144,0.989905712864056,0.989464411217801,0.990685960939825,0.995798261243947,0.98964186803958,0.99627003800078,0.989677309859267,0.995135121739759,0.994056478102928,0.993805858130263,0.993805593975653,0.994675741810065,0.987229027937541,0.993717157801742,0.994579154040789,0.9912199590122
