"","S10203","S10328","S10458","S10580","S10806","S10918","S11151","S11264","S11383","S11384","S11498","S11618","S11784","S11804","S11816","S11830","S11849","S11872","S11988","S1296","S1298","S1664","S1697","S176","S3234","S4287","S4401","S4573","S4668","S5110","S5557","S5610","S5646","S6018","S6120","S6165","S6923","S8633","S8702","S8888","S9019","S9163","S9165","S9269","S9272","S9313","S936","S9445","S9447","S9840","S995","S9964"
"S11498",0.987056098390181,0.989082752896417,0.945704335969314,0.944970951299882,0.94481546699506,0.941995468374239,0.978802548145753,0.978837598339139,0.978837598339139,0.999077690761789,1,0.978837598339139,0.987683541146188,0.99989926746466,0.987176861620018,0.987459262674401,0.986985128805345,0.987459262674401,0.999778596895788,0.984324092439807,0.999306624143908,0.917671553546974,0.917671553546974,0.934529772088165,0.999413551614978,0.892791092755939,0.895196619505901,0.83371747243124,0.83371747243124,0.986370327791521,0.985183835235121,0.851808598567523,0.847216631636854,0.98414355213782,0.874689735457735,0.874689735457735,0.985183835235121,0.975083979343333,0.865835517507558,0.974940895114533,0.974749563998958,0.973596623562423,0.998451587048246,0.901454779549057,0.901454779549057,0.997570337034094,0.927112332170112,0.973620249205872,0.998451587048246,0.986964330809159,0.929235355686628,0.988035143904837
"S11618",0.978943601100771,0.981816067639435,0.933934172892265,0.934112575016419,0.934125060760502,0.931368979277121,0.999946053648441,1,1,0.983587990617887,0.978837598339139,1,0.998031355752861,0.978045412753005,0.997590540240831,0.997826479510239,0.998129915649422,0.997826479510239,0.975820201237275,0.991116534979916,0.980482899359838,0.874290268665819,0.874290268665819,0.920156559466793,0.980912721812273,0.828634680961022,0.831782605262219,0.771418882991432,0.771418882991432,0.990604250294695,0.990970578568579,0.785777110624251,0.780937953203381,0.991294266491318,0.80785409816421,0.80785409816421,0.990970578568579,0.97065073583241,0.80757120569201,0.970113147160575,0.971305216870122,0.973555258241234,0.969954905069704,0.850172057006651,0.850172057006651,0.967341979766349,0.90727404824378,0.973338060447702,0.969954905069704,0.979554646732228,0.90782077699595,0.979279144380993
"S11784",0.986467031125296,0.988164071425473,0.938939339110543,0.938849582150273,0.938894271193639,0.93602271718017,0.997902291474756,0.998031355752861,0.998031355752861,0.991131604984629,0.987683541146188,0.998031355752861,1,0.987219374904427,0.99990046419391,0.999962883466298,0.99997248227251,0.999962883466298,0.985339556848025,0.994630235294236,0.989063379979512,0.886309653579517,0.886309653579517,0.924946771359371,0.989404833660692,0.84567578942427,0.848540101789182,0.790088423077542,0.790088423077542,0.994578141776317,0.99446785287724,0.804727633778097,0.799998843745875,0.994652532432078,0.825453136658569,0.825453136658569,0.99446785287724,0.975864047455649,0.826450348961159,0.975312436740813,0.976387559787758,0.977864858447694,0.980731531702452,0.866444019291167,0.866444019291167,0.978557498872567,0.913299120028446,0.977763000490383,0.980731531702452,0.98684972699642,0.91443878042942,0.986750997298049
"S11804",0.98606455793324,0.988031412768523,0.946664098458108,0.945925141882849,0.945748735670985,0.942993565884151,0.978001285826388,0.978045412753005,0.978045412753005,0.998795162427421,0.99989926746466,0.978045412753005,0.987219374904427,1,0.986763980140586,0.987005601338453,0.986553690232518,0.987005601338453,0.999836190594371,0.983295036974794,0.999252482463686,0.920430728878326,0.920430728878326,0.935852231538713,0.999233151247949,0.896020197898928,0.898316148443434,0.836427313909045,0.836427313909045,0.985307277183577,0.984101986014826,0.854690906082526,0.85012735253008,0.983151594776675,0.877746474915155,0.877746474915155,0.984101986014826,0.974510620176184,0.869378860526803,0.974483714408838,0.973946222748132,0.972621144644501,0.998808469572502,0.904863145316048,0.904863145316048,0.998066563115777,0.929034785772911,0.972682762893437,0.998808469572502,0.985953961359637,0.931262735604275,0.987070079391424
"S11816",0.986941174152645,0.988528850877737,0.939521510060522,0.939473854574319,0.939511905018665,0.936647601183363,0.997457736818536,0.997590540240831,0.997590540240831,0.9908985974168,0.987176861620018,0.997590540240831,0.99990046419391,0.986763980140586,1,0.999950681528787,0.9999200525623,0.999950681528787,0.984731740236201,0.995443122910985,0.988823078486956,0.886280900280295,0.886280900280295,0.925326881217563,0.989191910107711,0.845179854956051,0.848057752913879,0.790530435583912,0.790530435583912,0.995254307972318,0.995179522752393,0.805107013895601,0.80041776884212,0.995444700780013,0.825319495443733,0.825319495443733,0.995179522752393,0.976457876563856,0.826189985628609,0.975851791940081,0.977016342478631,0.978427693060018,0.980077763973584,0.865225718343114,0.865225718343114,0.977815123794472,0.913797693190741,0.978414089480142,0.980077763973584,0.987322500130323,0.914951548407224,0.987152230845633
"S11830",0.986893888021107,0.988437952038122,0.939361306919824,0.939270939163635,0.939323141628125,0.936502104647098,0.997681805648116,0.997826479510239,0.997826479510239,0.9909554483541,0.987459262674401,0.997826479510239,0.999962883466298,0.987005601338453,0.999950681528787,1,0.999969994973249,1,0.985041063743327,0.994864716818035,0.98893055695094,0.886555232926141,0.886555232926141,0.925291558727203,0.989271846571622,0.845885357714071,0.848768562500109,0.791209421585376,0.791209421585376,0.994720198676954,0.994625304256763,0.805663171310781,0.800975843981227,0.994826339494897,0.825872738907522,0.825872738907522,0.994625304256763,0.97623625851833,0.827179793309127,0.975636831239061,0.976774816342229,0.978272871775115,0.980548693903074,0.866583996187898,0.866583996187898,0.978326357012336,0.913495972908067,0.978212700010025,0.980548693903074,0.987286568645731,0.914627037054499,0.987111550860773
"S11849",0.985958003191807,0.987659600040311,0.938795425046261,0.93872985872922,0.938770332406719,0.935940765686448,0.997983001401555,0.998129915649422,0.998129915649422,0.990565159850015,0.986985128805345,0.998129915649422,0.99997248227251,0.986553690232518,0.9999200525623,0.999969994973249,1,0.999969994973249,0.984588594079439,0.994523557361704,0.988414325183193,0.885780086410523,0.885780086410523,0.924792862132077,0.988764943532798,0.844700299729471,0.847554783001464,0.788985099112925,0.788985099112925,0.994379183216557,0.99431612991234,0.803648300761299,0.798906163008427,0.994521395513555,0.824338278967541,0.824338278967541,0.99431612991234,0.975456180058085,0.825358868893055,0.974893838022971,0.975950455512467,0.977473580052951,0.979944254883858,0.865299608932135,0.865299608932135,0.977728299822517,0.913064144642856,0.977386036771256,0.979944254883858,0.98637143341036,0.914206672328245,0.986209372513111
"S11872",0.986893888021107,0.988437952038122,0.939361306919824,0.939270939163635,0.939323141628125,0.936502104647098,0.997681805648116,0.997826479510239,0.997826479510239,0.9909554483541,0.987459262674401,0.997826479510239,0.999962883466298,0.987005601338453,0.999950681528787,1,0.999969994973249,1,0.985041063743327,0.994864716818035,0.98893055695094,0.886555232926141,0.886555232926141,0.925291558727203,0.989271846571622,0.845885357714071,0.848768562500109,0.791209421585376,0.791209421585376,0.994720198676954,0.994625304256763,0.805663171310781,0.800975843981227,0.994826339494897,0.825872738907522,0.825872738907522,0.994625304256763,0.97623625851833,0.827179793309127,0.975636831239061,0.976774816342229,0.978272871775115,0.980548693903074,0.866583996187898,0.866583996187898,0.978326357012336,0.913495972908067,0.978212700010025,0.980548693903074,0.987286568645731,0.914627037054499,0.987111550860773
"S11988",0.984522116752224,0.986354199555275,0.942882704607338,0.942066227856833,0.941905724954045,0.939031797801587,0.975757601328072,0.975820201237275,0.975820201237275,0.998129221463178,0.999778596895788,0.975820201237275,0.985339556848025,0.999836190594371,0.984731740236201,0.985041063743327,0.984588594079439,0.985041063743327,1,0.981010675018372,0.998633734094285,0.918053401307782,0.918053401307782,0.931965723952773,0.998682086257976,0.894958467249478,0.897179288690485,0.834046299186414,0.834046299186414,0.983316969212313,0.981991830703574,0.85271653187362,0.848118083098419,0.980856664172625,0.876325044917234,0.876325044917234,0.981991830703574,0.971904072368246,0.868368017973716,0.971852212281313,0.971405102291193,0.970047162797758,0.999068323739167,0.905160767409966,0.905160767409966,0.998497690041214,0.925135695367264,0.970011728541159,0.999068323739167,0.984440055281034,0.927497008458942,0.985593139389219
"S1296",0.989306041625453,0.992204135134814,0.939357403591692,0.939609009022963,0.939507542408248,0.936340009107437,0.991248977355363,0.991116534979916,0.991116534979916,0.990200338947594,0.984324092439807,0.991116534979916,0.994630235294236,0.983295036974794,0.995443122910985,0.994864716818035,0.994523557361704,0.994864716818035,0.981010675018372,1,0.987007804631164,0.879348807513863,0.879348807513863,0.923623195096535,0.9881582065366,0.835967720711516,0.839490682593288,0.785827157088896,0.785827157088896,0.999777977464292,0.999889458873389,0.801257435151675,0.796510786392809,0.999899032983116,0.820268623840774,0.820268623840774,0.999889458873389,0.979595143520906,0.809815424370219,0.978369090211995,0.981171204795449,0.982086503383287,0.974569970606969,0.842969853165083,0.842969853165083,0.971332657575845,0.912157098142219,0.982417475773765,0.974569970606969,0.98963738292777,0.91297554962511,0.989477286730652
