"","S6914","S6916","S6939","S7049","S7064","S7080","S7081","S7084","S7085","S7087","S7090","S7091","S7092","S7095","S7109","S7111","S7112","S7113","S7116","S7124","S7125","S7129","S7132","S7140","S7144","S7148","S7151","S7153","S7154","S7155","S7158","S7159","S7164","S7168","S7169","S7170","S7171","S7173","S7174","S7178","S7185"
"S7090",0.999732706020466,0.999743757455759,0.999743757455759,0.999868249964885,0.999868249964885,0.999923346797721,0.999923346797721,0.999933334740976,0.99994622595779,1,1,1,0.99994622595779,0.999981946287089,0.999921711556029,0.999946734950925,0.999883105910667,0.999883105910667,0.999883105910667,0.999899657805731,0.999928277576304,0.999926716330623,0.999899657805731,0.999928277576304,0.999864435061344,0.999928277576304,0.999899657805731,0.999899657805731,0.999926716330623,0.999880834064048,0.999888617504418,0.999828408560262,0.999863619772383,0.999863619772383,0.999845818693532,0.999824281737891,0.999868507712385,0.999890446563118,0.999814005264468,0.999770537413393,0.999834632163893
"S7091",0.999732706020466,0.999743757455759,0.999743757455759,0.999868249964885,0.999868249964885,0.999923346797721,0.999923346797721,0.999933334740976,0.99994622595779,1,1,1,0.99994622595779,0.999981946287089,0.999921711556029,0.999946734950925,0.999883105910667,0.999883105910667,0.999883105910667,0.999899657805731,0.999928277576304,0.999926716330623,0.999899657805731,0.999928277576304,0.999864435061344,0.999928277576304,0.999899657805731,0.999899657805731,0.999926716330623,0.999880834064048,0.999888617504418,0.999828408560262,0.999863619772383,0.999863619772383,0.999845818693532,0.999824281737891,0.999868507712385,0.999890446563118,0.999814005264468,0.999770537413393,0.999834632163893
"S7092",0.999756471898208,0.999805786224109,0.999805786224109,0.999905670483699,0.999905670483699,0.999937439785402,0.999937439785402,0.999962046827328,1,0.99994622595779,0.99994622595779,0.99994622595779,1,0.999955702961993,0.99989944100295,0.999972029155273,0.999914145997228,0.999914145997228,0.999914145997228,0.999891095738205,0.999946705373554,0.999970502343423,0.999891095738205,0.999946705373554,0.999861605156383,0.999946705373554,0.999891095738205,0.999891095738205,0.999970502343423,0.999887809488167,0.999869637475976,0.999832218898789,0.99983449572199,0.99983449572199,0.99983559657071,0.999816055277278,0.999871623202376,0.999909537949267,0.999802461600369,0.999757160809873,0.999820906419768
"S7095",0.999716263326169,0.999761300065331,0.999761300065331,0.999842388331019,0.999842388331019,0.999934137285745,0.999934137285745,0.999935593803029,0.999955702961993,0.999981946287089,0.999981946287089,0.999981946287089,0.999955702961993,1,0.999956557921194,0.99998140166863,0.999933364026218,0.999933364026218,0.999933364026218,0.999907765848579,0.999959424990313,0.999955524501704,0.999907765848579,0.999959424990313,0.999886293344503,0.999959424990313,0.999907765848579,0.999907765848579,0.999955524501704,0.999911271740694,0.999906290258275,0.999856884319813,0.999899222364026,0.999899222364026,0.999882797657454,0.999867283583297,0.999899979806459,0.99992297053897,0.999856977912703,0.999835594162475,0.999862168475216
"S7109",0.999689285900519,0.99974104276061,0.99974104276061,0.999780216802643,0.999780216802643,0.999896979005294,0.999896979005294,0.999875887415694,0.99989944100295,0.999921711556029,0.999921711556029,0.999921711556029,0.99989944100295,0.999956557921194,1,0.99994109566885,0.999951569419638,0.999951569419638,0.999951569419638,0.999880253957233,0.999928900281419,0.999902255703915,0.999880253957233,0.999928900281419,0.999898907246904,0.999928900281419,0.999880253957233,0.999880253957233,0.999902255703915,0.99988538456053,0.999837705728603,0.999825176501636,0.999910869886553,0.999910869886553,0.999823150436101,0.999806358030421,0.999816732798122,0.999883279857956,0.999819645589364,0.999778464355147,0.999838075347452
"S7111",0.999716510241897,0.999781735151074,0.999781735151074,0.999852762199169,0.999852762199169,0.999932776182158,0.999932776182158,0.999939212357623,0.999972029155273,0.999946734950925,0.999946734950925,0.999946734950925,0.999972029155273,0.99998140166863,0.99994109566885,1,0.999956102502428,0.999956102502428,0.999956102502428,0.999912185114667,0.999977931284624,0.999968769732422,0.999912185114667,0.999977931284624,0.999891281187157,0.999977931284624,0.999912185114667,0.999912185114667,0.999968769732422,0.999918255900331,0.999897699170635,0.999865957288398,0.999891051972762,0.999891051972762,0.999882462331173,0.999867328117183,0.999904700302135,0.999930928174546,0.999849119580526,0.999838576366226,0.99985207072588
"S7112",0.999580699655605,0.999657342833253,0.999657342833253,0.999728011705466,0.999728011705466,0.999833155671549,0.999833155671549,0.999881386648982,0.999914145997228,0.999883105910667,0.999883105910667,0.999883105910667,0.999914145997228,0.999933364026218,0.999951569419638,0.999956102502428,1,1,1,0.99994552962578,0.999959658250294,0.999950208621583,0.99994552962578,0.999959658250294,0.999922513129494,0.999959658250294,0.99994552962578,0.99994552962578,0.999950208621583,0.999939919060314,0.999899879317292,0.999916340630704,0.999949923380845,0.999949923380845,0.999909593071936,0.999906888963937,0.999915690307936,0.999951989651479,0.999897154633341,0.999867833785978,0.999905475747252
"S7113",0.999580699655605,0.999657342833253,0.999657342833253,0.999728011705466,0.999728011705466,0.999833155671549,0.999833155671549,0.999881386648982,0.999914145997228,0.999883105910667,0.999883105910667,0.999883105910667,0.999914145997228,0.999933364026218,0.999951569419638,0.999956102502428,1,1,1,0.99994552962578,0.999959658250294,0.999950208621583,0.99994552962578,0.999959658250294,0.999922513129494,0.999959658250294,0.99994552962578,0.99994552962578,0.999950208621583,0.999939919060314,0.999899879317292,0.999916340630704,0.999949923380845,0.999949923380845,0.999909593071936,0.999906888963937,0.999915690307936,0.999951989651479,0.999897154633341,0.999867833785978,0.999905475747252
"S7116",0.999580699655605,0.999657342833253,0.999657342833253,0.999728011705466,0.999728011705466,0.999833155671549,0.999833155671549,0.999881386648982,0.999914145997228,0.999883105910667,0.999883105910667,0.999883105910667,0.999914145997228,0.999933364026218,0.999951569419638,0.999956102502428,1,1,1,0.99994552962578,0.999959658250294,0.999950208621583,0.99994552962578,0.999959658250294,0.999922513129494,0.999959658250294,0.99994552962578,0.99994552962578,0.999950208621583,0.999939919060314,0.999899879317292,0.999916340630704,0.999949923380845,0.999949923380845,0.999909593071936,0.999906888963937,0.999915690307936,0.999951989651479,0.999897154633341,0.999867833785978,0.999905475747252
"S7124",0.999440317710445,0.999513698489937,0.999513698489937,0.999673790256654,0.999673790256654,0.999749208691951,0.999749208691951,0.9998379467977,0.999891095738205,0.999899657805731,0.999899657805731,0.999899657805731,0.999891095738205,0.999907765848579,0.999880253957233,0.999912185114667,0.99994552962578,0.99994552962578,0.99994552962578,1,0.999953415726824,0.999935409466873,1,0.999953415726824,0.999945168615123,0.999953415726824,1,1,0.999935409466873,0.999980443424868,0.999969806223186,0.999970808460204,0.999958631516798,0.999958631516798,0.999958037323031,0.999949928993571,0.999955412540123,0.999968269206083,0.999922542712851,0.999901048225039,0.999944510649299
