"","Axis1","Axis2","site","year","HydroBasin","Country"
"S10580_2010",-1.70222647890444,-2.69689531960437,"S10580",2010,"7080047060","USA"
"S10580_2011",-1.2234516315614,-2.61111177731877,"S10580",2011,"7080047060","USA"
"S10580_2004",-0.297319717568031,-2.01112451350216,"S10580",2004,"7080047060","USA"
"S10580_2013",-0.444301270595081,-2.53376482614511,"S10580",2013,"7080047060","USA"
"S10580_2008",-0.0894661265324279,-2.31248793929469,"S10580",2008,"7080047060","USA"
"S10580_2009",-1.48373898774126,-2.58462406407261,"S10580",2009,"7080047060","USA"
"S10580_2012",-0.184877134102457,-2.09975503247659,"S10580",2012,"7080047060","USA"
"S1060_2004",-2.67531227044955,0.450066467984649,"S1060",2004,"2080033020","SWE"
"S1060_2006",-1.61267267846856,0.564533981291338,"S1060",2006,"2080033020","SWE"
"S1060_2007",-3.83245244571499,-0.122847497212864,"S1060",2007,"2080033020","SWE"
"S1060_2008",-3.90314337505133,-0.0233265317906035,"S1060",2008,"2080033020","SWE"
"S1060_2009",-3.87167336764159,0.00485225946150307,"S1060",2009,"2080033020","SWE"
"S1060_2010",-3.79345429553092,-0.0122903901198483,"S1060",2010,"2080033020","SWE"
"S1060_2011",-3.35117408847664,-0.136575682629549,"S1060",2011,"2080033020","SWE"
"S1060_2012",-3.84662534986772,-0.132882308497245,"S1060",2012,"2080033020","SWE"
"S1060_2013",-3.78177573716478,-0.177767600466189,"S1060",2013,"2080033020","SWE"
"S1060_2005",-3.0333172377817,0.336454268889391,"S1060",2005,"2080033020","SWE"
"S1065_2011",-1.69970456338569,0.908999308525025,"S1065",2011,"2080033010","SWE"
"S1065_2012",-1.36382611710074,0.791739979552047,"S1065",2012,"2080033010","SWE"
"S1065_2013",-1.4066678750351,0.806696568291129,"S1065",2013,"2080033010","SWE"
"S1065_2004",-1.15860034432866,0.268517593495448,"S1065",2004,"2080033010","SWE"
"S1065_2006",-1.68095809641803,0.784192045229899,"S1065",2006,"2080033010","SWE"
"S1065_2007",-1.69970456338569,0.908999308525025,"S1065",2007,"2080033010","SWE"
"S1065_2008",-1.57118709003372,0.756878720947313,"S1065",2008,"2080033010","SWE"
"S1065_2009",-1.69970456338569,0.908999308525025,"S1065",2009,"2080033010","SWE"
"S1065_2010",-1.55856363915067,0.741936886848771,"S1065",2010,"2080033010","SWE"
"S10806_2005",0.483567243273364,-2.15428186432682,"S10806",2005,"7080047060","USA"
"S10806_2006",1.1627928982191,-2.00733153275053,"S10806",2006,"7080047060","USA"
"S10806_2008",-0.601844522543863,-2.48468210793537,"S10806",2008,"7080047060","USA"
"S10806_2010",-0.900342690081304,-2.12538898419371,"S10806",2010,"7080047060","USA"
"S10806_2013",1.32413980018493,-1.71206677654414,"S10806",2013,"7080047060","USA"
"S10806_2004",-0.355351265158686,-2.10221870308922,"S10806",2004,"7080047060","USA"
"S10806_2007",-0.123954408572703,-2.07656953993898,"S10806",2007,"7080047060","USA"
"S10806_2011",-1.56127703595969,-2.17739634951557,"S10806",2011,"7080047060","USA"
"S10806_2012",-0.126662163076958,-2.18710043782154,"S10806",2012,"7080047060","USA"
"S10806_2009",-0.641235244417273,-2.63564791361634,"S10806",2009,"7080047060","USA"
"S1081_2004",-1.35313791638718,0.788008596197554,"S1081",2004,"2080033020","SWE"
"S1081_2006",-0.376796292853194,0.327830892929111,"S1081",2006,"2080033020","SWE"
"S1081_2007",-0.407915991723376,0.364962243797873,"S1081",2007,"2080033020","SWE"
"S1081_2008",-2.50886346746223,0.364556714100208,"S1081",2008,"2080033020","SWE"
"S1081_2009",-1.24842570818527,0.363838791299879,"S1081",2009,"2080033020","SWE"
"S1081_2010",-1.50644418690888,0.666037431855123,"S1081",2010,"2080033020","SWE"
"S1081_2011",-2.77749016088592,0.200226101798664,"S1081",2011,"2080033020","SWE"
"S1081_2012",-1.77862213582547,0.285255404862741,"S1081",2012,"2080033020","SWE"
"S1081_2013",-0.51801775744364,0.462100812241094,"S1081",2013,"2080033020","SWE"
"S1081_2005",-1.69970456338569,0.908999308525025,"S1081",2005,"2080033020","SWE"
"S1087_2012",0.286889078661402,-2.01846689729347,"S1087",2012,"2080053790","GBR"
"S1087_2005",0.21205056313197,-2.04513215572083,"S1087",2005,"2080053790","GBR"
"S1087_2007",1.06203638746621,-1.72476678867225,"S1087",2007,"2080053790","GBR"
"S1087_2004",0.180476077094834,-2.0287012281003,"S1087",2004,"2080053790","GBR"
"S1087_2006",0.275216392028323,-2.10702521362125,"S1087",2006,"2080053790","GBR"
"S1087_2008",0.549897114843053,-1.93620589694935,"S1087",2008,"2080053790","GBR"
"S1087_2009",0.500998812157753,-1.82654926644871,"S1087",2009,"2080053790","GBR"
"S1087_2010",0.728249781628433,-1.786178261129,"S1087",2010,"2080053790","GBR"
"S1087_2013",0.395421938640646,-1.9852366316712,"S1087",2013,"2080053790","GBR"
"S10918_2006",0.0582413160576416,-3.16577136980474,"S10918",2006,"7080047060","USA"
"S10918_2008",0.461464605296856,-3.05635169254868,"S10918",2008,"7080047060","USA"
"S10918_2010",-0.0426108248947556,-2.37574745564185,"S10918",2010,"7080047060","USA"
"S10918_2007",0.289714696129664,-2.95826104940243,"S10918",2007,"7080047060","USA"
"S10918_2012",-1.36472359167076,-1.80783992294335,"S10918",2012,"7080047060","USA"
"S10918_2013",0.449549962143799,-3.0186942754651,"S10918",2013,"7080047060","USA"
"S10918_2005",2.47307607708924,-0.838984501149689,"S10918",2005,"7080047060","USA"
"S10918_2011",0.534269704521927,-3.07975769230002,"S10918",2011,"7080047060","USA"
"S10918_2004",0.740072523436101,-2.52492717172451,"S10918",2004,"7080047060","USA"
"S10918_2009",-0.360663275255783,-2.2288726286871,"S10918",2009,"7080047060","USA"
"S1095_2007",2.04899299827345,0.162038669655857,"S1095",2007,"2080020120","ESP"
"S1095_2008",2.11994648978702,0.25496568771228,"S1095",2008,"2080020120","ESP"
"S1095_2010",1.91291666143891,0.0133704122306642,"S1095",2010,"2080020120","ESP"
"S1095_2009",1.94943797472079,0.0965013679243823,"S1095",2009,"2080020120","ESP"
"S1095_2004",2.00863759724007,0.102194790536729,"S1095",2004,"2080020120","ESP"
"S1095_2005",1.93371976767733,0.0162482616406782,"S1095",2005,"2080020120","ESP"
"S1095_2006",1.91549141913524,0.086530774321868,"S1095",2006,"2080020120","ESP"
"S1095_2011",2.07789370829441,0.189506091452333,"S1095",2011,"2080020120","ESP"
"S1095_2012",0.958776103532638,-0.88488047861762,"S1095",2012,"2080020120","ESP"
"S1095_2013",1.38136033583383,-0.535453167766595,"S1095",2013,"2080020120","ESP"
"S1100_2004",-5.68285064301848,-3.04191099913885,"S1100",2004,"2080033020","SWE"
"S1100_2005",-4.96768593696725,-1.01848992067665,"S1100",2005,"2080033020","SWE"
"S1100_2006",-5.60580653328123,-2.41346140684135,"S1100",2006,"2080033020","SWE"
"S1100_2007",-5.2048214840256,-1.54719183086089,"S1100",2007,"2080033020","SWE"
"S1100_2008",-5.33700872425455,-1.8191860841505,"S1100",2008,"2080033020","SWE"
"S1100_2009",-5.55151113540368,-2.00119152431648,"S1100",2009,"2080033020","SWE"
"S1100_2010",-4.66632698656152,-2.56664437322553,"S1100",2010,"2080033020","SWE"
"S1100_2011",-4.83831041638347,-0.773407372654675,"S1100",2011,"2080033020","SWE"
"S1100_2012",-4.91095022786091,-0.865980164927995,"S1100",2012,"2080033020","SWE"
"S1100_2013",-4.38746885765354,-0.809263494414178,"S1100",2013,"2080033020","SWE"
"S1111_2004",-3.52663726245067,-1.87560686578435,"S1111",2004,"2080033020","SWE"
"S1111_2005",-1.59578658576837,0.742619781833553,"S1111",2005,"2080033020","SWE"
"S1111_2006",-1.55932375183788,0.742836599437163,"S1111",2006,"2080033020","SWE"
"S1111_2007",-2.37439322010726,0.0908122368428719,"S1111",2007,"2080033020","SWE"
"S1111_2008",-1.69970456338569,0.908999308525025,"S1111",2008,"2080033020","SWE"
"S1111_2009",-1.62290966219706,-0.070874686363004,"S1111",2009,"2080033020","SWE"
"S1111_2010",-1.69970456338569,0.908999308525025,"S1111",2010,"2080033020","SWE"
"S1111_2011",-1.9975543088909,-0.373973374786807,"S1111",2011,"2080033020","SWE"
"S1111_2012",-2.29158669812569,-0.285659159648812,"S1111",2012,"2080033020","SWE"
"S1111_2013",-2.07963443814845,0.448262776822823,"S1111",2013,"2080033020","SWE"
"S1112_2005",-0.721513730208854,0.217783662150701,"S1112",2005,"2080033090","SWE"
"S1112_2008",-0.176091421856065,-0.222705366099651,"S1112",2008,"2080033090","SWE"
"S1112_2004",-0.87509012964426,-0.139294827822116,"S1112",2004,"2080033090","SWE"
"S1112_2006",-0.70982746995772,0.344912281627839,"S1112",2006,"2080033090","SWE"
"S1112_2007",0.190026818104496,-0.0046422632634858,"S1112",2007,"2080033090","SWE"
"S1112_2010",-1.41437584482006,-0.468111963028797,"S1112",2010,"2080033090","SWE"
"S1112_2011",0.177765435293275,-0.910878351551302,"S1112",2011,"2080033090","SWE"
"S1112_2012",-0.430505403139768,-0.0247940286511516,"S1112",2012,"2080033090","SWE"
"S1112_2009",-0.965970654557942,-0.425838936499496,"S1112",2009,"2080033090","SWE"
"S1112_2013",-0.108046367271108,-1.98709851885665,"S1112",2013,"2080033090","SWE"
"S11151_2004",2.54428473159852,-1.04734533425958,"S11151",2004,"7080047060","USA"
"S11151_2006",1.22505785908779,-1.54700367696622,"S11151",2006,"7080047060","USA"
"S11151_2007",0.886885000365606,-2.37784523846588,"S11151",2007,"7080047060","USA"
"S11151_2010",0.975748432513645,-1.39547619192205,"S11151",2010,"7080047060","USA"
"S11151_2011",0.180744787826936,-2.42396501742619,"S11151",2011,"7080047060","USA"
"S11151_2005",0.41175447064752,-2.07544354855792,"S11151",2005,"7080047060","USA"
"S11151_2009",0.485305083659144,-1.51001170616008,"S11151",2009,"7080047060","USA"
"S11151_2013",0.67976254401456,-1.78533074992726,"S11151",2013,"7080047060","USA"
