"","Axis.1","Axis.2","site","year","HydroBasin","Country"
"S10089_2009",-0.310986599329751,-0.0220067945532648,"S10089",2009,"7080049270","USA"
"S10089_2010",-0.319083551281623,0.00315112590135422,"S10089",2010,"7080049270","USA"
"S10089_2011",-0.345295171298782,-0.0334580109637431,"S10089",2011,"7080049270","USA"
"S10089_2012",-0.372836123877356,-0.0432660939049343,"S10089",2012,"7080049270","USA"
"S10089_2013",-0.400124667898251,-0.0518859203871765,"S10089",2013,"7080049270","USA"
"S10203_2005",-0.0807747513694299,0.121805491305885,"S10203",2005,"7080047060","USA"
"S10203_2006",-0.0481928525975327,0.124085963178463,"S10203",2006,"7080047060","USA"
"S10203_2009",-0.0503947698236042,0.109280514272019,"S10203",2009,"7080047060","USA"
"S10203_2004",-0.00152563765342599,0.174258368664067,"S10203",2004,"7080047060","USA"
"S10203_2007",-0.0132581628771854,0.172702326248914,"S10203",2007,"7080047060","USA"
"S10203_2008",-0.032972661176621,0.142078438678492,"S10203",2008,"7080047060","USA"
"S10203_2011",-0.0627852287904081,0.095804795419651,"S10203",2011,"7080047060","USA"
"S10203_2012",-0.0869792606482587,0.0876350286626766,"S10203",2012,"7080047060","USA"
"S10203_2013",-0.0382269688537538,0.164815363097575,"S10203",2013,"7080047060","USA"
"S10203_2010",-0.015069081068894,0.0984708904770472,"S10203",2010,"7080047060","USA"
"S1026_2005",0.104347049450592,-0.0547084120499865,"S1026",2005,"2080033010","SWE"
"S1026_2004",0.0840719297066424,-0.0484069585118854,"S1026",2004,"2080033010","SWE"
"S1026_2006",0.060610765226638,-0.0391714962386062,"S1026",2006,"2080033010","SWE"
"S1026_2007",0.0639622914221311,-0.0422519146820627,"S1026",2007,"2080033010","SWE"
"S1026_2008",0.0380897652934792,-0.0348076233195061,"S1026",2008,"2080033010","SWE"
"S1026_2009",0.101030235163935,-0.0536761368793511,"S1026",2009,"2080033010","SWE"
"S1026_2010",-0.0806032466805052,0.000689238392914982,"S1026",2010,"2080033010","SWE"
"S1026_2011",-0.086592217819358,0.00332419404920757,"S1026",2011,"2080033010","SWE"
"S1026_2012",0.104175603005873,-0.0546553824401285,"S1026",2012,"2080033010","SWE"
"S1026_2013",0.00309890813895266,-0.0271789823892006,"S1026",2013,"2080033010","SWE"
"S1029_2007",0.0127610140347479,-0.0289617026119794,"S1029",2007,"2080033010","SWE"
"S1029_2011",-0.132276446877084,0.0248314816374647,"S1029",2011,"2080033010","SWE"
"S1029_2005",-0.034429214746564,-0.0177402155011963,"S1029",2005,"2080033010","SWE"
"S1029_2006",0.00728580222662026,-0.0278890966363289,"S1029",2006,"2080033010","SWE"
"S1029_2009",-0.0584346178496115,-0.00870719009257053,"S1029",2009,"2080033010","SWE"
"S1029_2012",-0.107760834302218,0.0174833072749532,"S1029",2012,"2080033010","SWE"
"S1029_2004",0.0435023328100231,-0.0363108708796866,"S1029",2004,"2080033010","SWE"
"S1029_2008",-0.0662372198249853,-0.00547752807432019,"S1029",2008,"2080033010","SWE"
"S1029_2010",-0.1041032492121,0.0112920851795919,"S1029",2010,"2080033010","SWE"
"S1029_2013",-0.0751962627655535,-0.0016672012980525,"S1029",2013,"2080033010","SWE"
"S1031_2007",0.0365387355041616,-0.034382106473987,"S1031",2007,"2080033010","SWE"
"S1031_2011",-0.0728635823294007,-0.00267213875531174,"S1031",2011,"2080033010","SWE"
"S1031_2005",-0.0355682727924621,-0.0173469361171071,"S1031",2005,"2080033010","SWE"
"S1031_2006",-0.133682273118181,0.0254954133245463,"S1031",2006,"2080033010","SWE"
"S1031_2009",0.029029577020525,-0.0324654187796525,"S1031",2009,"2080033010","SWE"
"S1031_2012",-0.159399654264716,0.0389745736052493,"S1031",2012,"2080033010","SWE"
"S1031_2004",-0.089135388378409,0.00445323436290823,"S1031",2004,"2080033010","SWE"
"S1031_2008",-0.0505144905470998,-0.01186333569639,"S1031",2008,"2080033010","SWE"
"S1031_2010",-0.0715038264612256,-0.00325547761342253,"S1031",2010,"2080033010","SWE"
"S1031_2013",-0.140444338221507,0.0286803478469711,"S1031",2013,"2080033010","SWE"
"S10328_2007",-0.00713926081581069,0.0910098953444053,"S10328",2007,"7080047060","USA"
"S10328_2008",0.0163726699792127,0.15086119192802,"S10328",2008,"7080047060","USA"
"S10328_2004",-0.095695658268503,0.150834899463907,"S10328",2004,"7080047060","USA"
"S10328_2012",-0.123758975012003,0.0908414109164494,"S10328",2012,"7080047060","USA"
"S10328_2006",-0.0425751196606583,0.162251059773213,"S10328",2006,"7080047060","USA"
"S10328_2009",0.0248702070154002,0.095708504836304,"S10328",2009,"7080047060","USA"
"S10328_2010",-0.0278766956913077,0.145491238052925,"S10328",2010,"7080047060","USA"
"S10328_2011",-0.114056636438695,0.116806044568618,"S10328",2011,"7080047060","USA"
"S10328_2013",-0.040813402960177,0.163668148406712,"S10328",2013,"7080047060","USA"
"S10328_2005",-0.0270235743182224,0.08628044130645,"S10328",2005,"7080047060","USA"
"S10329_2004",-0.355279175620336,-0.0376614585769465,"S10329",2004,"7080049270","USA"
"S10329_2005",-0.313573960099513,-0.0237586904336244,"S10329",2005,"7080049270","USA"
"S10329_2006",-0.321987467014958,-0.0283766855162679,"S10329",2006,"7080049270","USA"
"S10329_2007",-0.294164428053946,0.00621233836817361,"S10329",2007,"7080049270","USA"
"S10329_2008",-0.295622062102713,-0.0168817250638666,"S10329",2008,"7080049270","USA"
"S10329_2009",-0.287560182602847,0.0223139309308698,"S10329",2009,"7080049270","USA"
"S10329_2010",-0.304642862465072,0.0573893939333389,"S10329",2010,"7080049270","USA"
"S10329_2011",-0.361910709730261,-0.0387185305525434,"S10329",2011,"7080049270","USA"
"S10329_2012",-0.330156441265271,-0.029476853285621,"S10329",2012,"7080049270","USA"
"S10329_2013",-0.320716375942733,-0.0242098152226015,"S10329",2013,"7080049270","USA"
"S1034_2012",0.0313093220462425,0.107200986227019,"S1034",2012,"2080053790","GBR"
"S1034_2005",0.00413944825599668,0.0953048817486432,"S1034",2005,"2080053790","GBR"
"S1034_2007",0.0220539956166483,0.112904363792122,"S1034",2007,"2080053790","GBR"
"S1034_2004",0.0408783222488412,0.0951031565804978,"S1034",2004,"2080053790","GBR"
"S1034_2006",0.0234383155049489,0.101010127479401,"S1034",2006,"2080053790","GBR"
"S1034_2008",0.0170731580351651,0.103809896813379,"S1034",2008,"2080053790","GBR"
"S1034_2009",-0.00400219204270261,0.0599698521975219,"S1034",2009,"2080053790","GBR"
"S1034_2010",0.00257457536624149,0.0771441677365815,"S1034",2010,"2080053790","GBR"
"S1034_2011",-0.0508603869406459,0.083911040181012,"S1034",2011,"2080053790","GBR"
"S1034_2013",0.0232146809468244,0.0587782117353621,"S1034",2013,"2080053790","GBR"
"S1038_2005",0.0727944313355649,-0.044954236754976,"S1038",2005,"2080033010","SWE"
"S1038_2004",-0.0252619683985182,-0.0208677496594368,"S1038",2004,"2080033010","SWE"
"S1038_2006",-0.0794898028216313,0.000203578804093104,"S1038",2006,"2080033010","SWE"
"S1038_2007",-0.0428673969198781,-0.0137280680085977,"S1038",2007,"2080033010","SWE"
"S1038_2008",-0.114080455183308,0.0166185195959433,"S1038",2008,"2080033010","SWE"
"S1038_2009",-0.116689837743705,0.0173317249631019,"S1038",2009,"2080033010","SWE"
"S1038_2010",-0.0900146887700775,0.00484439652865972,"S1038",2010,"2080033010","SWE"
"S1038_2011",-0.0534351376629965,-0.0107156937488966,"S1038",2011,"2080033010","SWE"
"S1038_2012",0.0428259494744578,-0.0361217934932016,"S1038",2012,"2080033010","SWE"
"S1038_2013",0.0713622440544328,-0.0445141337460905,"S1038",2013,"2080033010","SWE"
"S1041_2004",0.258682717835239,-0.0493736949893334,"S1041",2004,"2080033020","SWE"
"S1041_2005",0.218299457881924,-0.0478055084781864,"S1041",2005,"2080033020","SWE"
"S1041_2006",0.210886861721005,-0.0355583553795888,"S1041",2006,"2080033020","SWE"
"S1041_2007",0.166107965546401,-0.0400129844124559,"S1041",2007,"2080033020","SWE"
"S1041_2010",0.213542137867754,-0.0508947596729523,"S1041",2010,"2080033020","SWE"
"S1041_2011",0.205034703142124,-0.047134988101861,"S1041",2011,"2080033020","SWE"
"S1041_2012",0.233969810720233,-0.0522073876748656,"S1041",2012,"2080033020","SWE"
"S1041_2013",0.228432405657785,-0.0495858763542953,"S1041",2013,"2080033020","SWE"
"S1041_2008",0.0637981800840106,-0.0115021046370978,"S1041",2008,"2080033020","SWE"
"S10458_2004",-0.0100631911356855,0.146458168721872,"S10458",2004,"7080047060","USA"
"S10458_2008",0.010541983398867,0.159606900725427,"S10458",2008,"7080047060","USA"
"S10458_2012",-0.0506057974363822,0.0912419479217133,"S10458",2012,"7080047060","USA"
"S10458_2009",0.0839491140283879,0.0805521524631214,"S10458",2009,"7080047060","USA"
"S10458_2011",0.091783539034457,0.100951970241242,"S10458",2011,"7080047060","USA"
"S10458_2013",0.0129580785212428,0.161059483581464,"S10458",2013,"7080047060","USA"
"S10458_2005",-0.0525884811897179,0.149676089119827,"S10458",2005,"7080047060","USA"
"S10458_2010",0.0731364492852808,0.102962202112244,"S10458",2010,"7080047060","USA"
"S10458_2006",-0.00561910234888875,0.157493709726422,"S10458",2006,"7080047060","USA"
"S10458_2007",0.0139280639633922,0.131284577246489,"S10458",2007,"7080047060","USA"
"S10459_2004",-0.364447081306502,-0.041706955764898,"S10459",2004,"7080049270","USA"
"S10459_2005",-0.38118385166737,-0.0467571110746437,"S10459",2005,"7080049270","USA"
"S10459_2006",-0.322336751004182,-0.0293500089250075,"S10459",2006,"7080049270","USA"
"S10459_2007",-0.410824637932233,-0.0566291701775294,"S10459",2007,"7080049270","USA"
"S10459_2008",-0.30465654465757,0.0560896320385324,"S10459",2008,"7080049270","USA"
"S10459_2009",-0.301540925771698,0.0462145687249372,"S10459",2009,"7080049270","USA"
"S10459_2010",-0.302749451893314,0.0599969133118152,"S10459",2010,"7080049270","USA"
"S10459_2011",-0.340468716240286,-0.0334304866855583,"S10459",2011,"7080049270","USA"
"S10459_2012",-0.359198153658654,-0.0392977836226406,"S10459",2012,"7080049270","USA"
"S10459_2013",-0.359674789197307,-0.0391726215488776,"S10459",2013,"7080049270","USA"
"S1054_2007",0.115611401903253,-0.0306915093578459,"S1054",2007,"2080033010","SWE"
"S1054_2011",0.0365387355041614,-0.034382106473987,"S1054",2011,"2080033010","SWE"
"S1054_2005",0.124131278916149,-0.0527946014877546,"S1054",2005,"2080033010","SWE"
"S1054_2006",0.0214764244196897,-0.0251433697450346,"S1054",2006,"2080033010","SWE"
"S1054_2009",-0.116451874236533,0.017218911403291,"S1054",2009,"2080033010","SWE"
"S1054_2012",-0.0939901710279293,0.0114306990046727,"S1054",2012,"2080033010","SWE"
"S1054_2004",0.141945790710161,-0.0666996492444076,"S1054",2004,"2080033010","SWE"
"S1054_2008",-0.084668022125957,0.00247623524119284,"S1054",2008,"2080033010","SWE"
"S1054_2010",-0.166113381577593,0.0444647597171308,"S1054",2010,"2080033010","SWE"
"S1054_2013",-0.0491826766456164,-0.00431829475451121,"S1054",2013,"2080033010","SWE"
"S10580_2005",0.0231100882250396,0.0983078416792114,"S10580",2005,"7080047060","USA"
"S10580_2006",0.0247097401077382,0.0793798811850379,"S10580",2006,"7080047060","USA"
"S10580_2007",0.0259837480747807,0.121251657824392,"S10580",2007,"7080047060","USA"
"S10580_2010",0.132588278946619,0.111425303779543,"S10580",2010,"7080047060","USA"
"S10580_2011",0.0965590777248404,0.111363386147095,"S10580",2011,"7080047060","USA"
"S10580_2004",0.0311698808602333,0.0791797570371903,"S10580",2004,"7080047060","USA"
"S10580_2013",0.0471389243423568,0.137259416846187,"S10580",2013,"7080047060","USA"
"S10580_2008",0.023787002275096,0.106494243918738,"S10580",2008,"7080047060","USA"
"S10580_2009",0.122797957038821,0.113884099297849,"S10580",2009,"7080047060","USA"
"S10580_2012",0.0179904820723363,0.103398388056662,"S10580",2012,"7080047060","USA"
"S1060_2004",0.189439202175526,-0.0579810796470369,"S1060",2004,"2080033020","SWE"
"S1060_2006",0.125419844130684,-0.0494955907379343,"S1060",2006,"2080033020","SWE"
"S1060_2007",0.229601997447787,-0.0504102517169775,"S1060",2007,"2080033020","SWE"
"S1060_2008",0.234544001227653,-0.0575300781820222,"S1060",2008,"2080033020","SWE"
"S1060_2009",0.237642986111056,-0.0566537513607547,"S1060",2009,"2080033020","SWE"
"S1060_2010",0.232628265118142,-0.0546060658550587,"S1060",2010,"2080033020","SWE"
"S1060_2011",0.194901224856951,-0.0456084517806277,"S1060",2011,"2080033020","SWE"
"S1060_2012",0.224725243563113,-0.0535580242194151,"S1060",2012,"2080033020","SWE"
"S1060_2013",0.217866607717923,-0.0509463637825653,"S1060",2013,"2080033020","SWE"
"S1060_2005",0.205923631751569,-0.0592904864510634,"S1060",2005,"2080033020","SWE"
"S1065_2011",0.141945790710161,-0.0666996492444077,"S1065",2011,"2080033010","SWE"
"S1065_2012",0.116650210875266,-0.058569598161628,"S1065",2012,"2080033010","SWE"
"S1065_2013",0.119901089210637,-0.059579676080286,"S1065",2013,"2080033010","SWE"
"S1065_2004",0.108885252641318,-0.0528756211274422,"S1065",2004,"2080033010","SWE"
"S1065_2006",0.141413683708985,-0.0613963620842323,"S1065",2006,"2080033010","SWE"
"S1065_2007",0.141945790710161,-0.0666996492444076,"S1065",2007,"2080033010","SWE"
"S1065_2008",0.134144839352073,-0.0635263585810825,"S1065",2008,"2080033010","SWE"
"S1065_2009",0.141945790710161,-0.0666996492444077,"S1065",2009,"2080033010","SWE"
"S1065_2010",0.133381608844856,-0.0632110740645729,"S1065",2010,"2080033010","SWE"
"S10806_2005",-0.0220405022157977,0.101321903710598,"S10806",2005,"7080047060","USA"
"S10806_2006",-0.0751076919554287,0.114458890507699,"S10806",2006,"7080047060","USA"
"S10806_2008",0.0609152736452659,0.118579274235932,"S10806",2008,"7080047060","USA"
"S10806_2010",0.0591097915228972,0.0788870498035328,"S10806",2010,"7080047060","USA"
"S10806_2013",-0.0838064397811364,0.0770596446323127,"S10806",2013,"7080047060","USA"
"S10806_2004",0.0391440344858866,0.0901427294994896,"S10806",2004,"7080047060","USA"
"S10806_2007",0.0218746519109306,0.0850035985202243,"S10806",2007,"7080047060","USA"
"S10806_2011",0.113982244395472,0.0784479993626771,"S10806",2011,"7080047060","USA"
"S10806_2012",0.0239225740557486,0.112708183036074,"S10806",2012,"7080047060","USA"
"S10806_2009",0.0610878477767455,0.129731421085013,"S10806",2009,"7080047060","USA"
"S1081_2004",0.115838605711716,-0.0583161206908114,"S1081",2004,"2080033020","SWE"
"S1081_2006",0.0365938347572432,-0.0301818208313375,"S1081",2006,"2080033020","SWE"
"S1081_2007",0.03919668012312,-0.0321732350937038,"S1081",2007,"2080033020","SWE"
"S1081_2008",0.172435788992066,-0.0522399455905607,"S1081",2008,"2080033020","SWE"
"S1081_2009",0.0949517108988927,-0.0375067601495199,"S1081",2009,"2080033020","SWE"
"S1081_2010",0.122115251115754,-0.0532606695640953,"S1081",2010,"2080033020","SWE"
"S1081_2011",0.18054392273186,-0.0491654145759766,"S1081",2011,"2080033020","SWE"
"S1081_2012",0.12774845940232,-0.0377070678929341,"S1081",2012,"2080033020","SWE"
"S1081_2013",0.0501147169683137,-0.0369214094816153,"S1081",2013,"2080033020","SWE"
"S1081_2005",0.14194579071016,-0.0666996492444077,"S1081",2005,"2080033020","SWE"
"S1087_2012",0.0192837499823654,0.10941742613694,"S1087",2012,"2080053790","GBR"
"S1087_2005",0.0223952780166526,0.106490397155754,"S1087",2005,"2080053790","GBR"
"S1087_2007",-0.0437056280592896,0.102590514437044,"S1087",2007,"2080053790","GBR"
"S1087_2004",0.0180534193425604,0.113531818708143,"S1087",2004,"2080053790","GBR"
"S1087_2006",0.0188543047664668,0.116891360389077,"S1087",2006,"2080053790","GBR"
"S1087_2008",0.000136196930471026,0.108870406268884,"S1087",2008,"2080053790","GBR"
"S1087_2009",0.0159484520398322,0.0886422072355997,"S1087",2009,"2080053790","GBR"
"S1087_2010",-0.00419202163853371,0.0935441881418165,"S1087",2010,"2080053790","GBR"
"S1087_2013",0.0204337574372727,0.102549383202591,"S1087",2013,"2080053790","GBR"
"S10918_2006",0.0370366844467531,0.189077754952907,"S10918",2006,"7080047060","USA"
"S10918_2008",0.00607873112815155,0.177594184483747,"S10918",2008,"7080047060","USA"
"S10918_2010",0.0185826207022779,0.0993062318938975,"S10918",2010,"7080047060","USA"
"S10918_2007",0.0200043495668339,0.168144452603704,"S10918",2007,"7080047060","USA"
"S10918_2012",0.0802069185613419,0.0520626596238384,"S10918",2012,"7080047060","USA"
"S10918_2013",0.00569582438346135,0.181024068348409,"S10918",2013,"7080047060","USA"
"S10918_2005",-0.19003531201581,0.0289879763907702,"S10918",2005,"7080047060","USA"
"S10918_2011",0.00250131333150194,0.183358347149138,"S10918",2011,"7080047060","USA"
"S10918_2004",-0.0246252058788617,0.134755225859706,"S10918",2004,"7080047060","USA"
"S10918_2009",0.0419115006891096,0.0891953467456957,"S10918",2009,"7080047060","USA"
"S1095_2007",-0.145829108363403,0.0319177928656154,"S1095",2007,"2080020120","ESP"
"S1095_2008",-0.169014698324672,0.0268590339603205,"S1095",2008,"2080020120","ESP"
"S1095_2010",-0.136001408529584,0.0314752794759693,"S1095",2010,"2080020120","ESP"
"S1095_2009",-0.152093736218461,0.0279044234003087,"S1095",2009,"2080020120","ESP"
"S1095_2004",-0.141551485057644,0.0323410813265538,"S1095",2004,"2080020120","ESP"
"S1095_2005",-0.134513143840716,0.0324391376230438,"S1095",2005,"2080020120","ESP"
"S1095_2006",-0.131807843270084,0.0303326783755426,"S1095",2006,"2080020120","ESP"
"S1095_2011",-0.152475389304257,0.0309607357414557,"S1095",2011,"2080020120","ESP"
"S1095_2012",-0.0437958046539162,0.0499277221873025,"S1095",2012,"2080020120","ESP"
"S1095_2013",-0.0823430777617439,0.0412840700987924,"S1095",2013,"2080020120","ESP"
"S1100_2004",0.273880222532561,0.0775526774008835,"S1100",2004,"2080033020","SWE"
"S1100_2005",0.277800919641007,-0.0119355324026657,"S1100",2005,"2080033020","SWE"
"S1100_2006",0.292494717655483,0.0445891521472345,"S1100",2006,"2080033020","SWE"
"S1100_2007",0.288060865141284,0.0122581086251426,"S1100",2007,"2080033020","SWE"
"S1100_2008",0.28854402634047,0.0223153204639852,"S1100",2008,"2080033020","SWE"
"S1100_2009",0.299087348976393,0.0274268513841467,"S1100",2009,"2080033020","SWE"
"S1100_2010",0.226845005207083,0.0648973123624097,"S1100",2010,"2080033020","SWE"
"S1100_2011",0.271558432476045,-0.0263363332851665,"S1100",2011,"2080033020","SWE"
"S1100_2012",0.276276528843507,-0.0237500442041202,"S1100",2012,"2080033020","SWE"
"S1100_2013",0.242734613687509,-0.0208107568705677,"S1100",2013,"2080033020","SWE"
"S1111_2004",0.187719983480549,0.0660932950290065,"S1111",2004,"2080033020","SWE"
"S1111_2005",0.137140596761942,-0.0571179409949129,"S1111",2005,"2080033020","SWE"
"S1111_2006",0.133427593262671,-0.0632301321594583,"S1111",2006,"2080033020","SWE"
"S1111_2007",0.164680544262833,-0.0304736594347248,"S1111",2007,"2080033020","SWE"
"S1111_2008",0.14194579071016,-0.0666996492444078,"S1111",2008,"2080033020","SWE"
"S1111_2009",0.132511504751126,-0.0163640621857941,"S1111",2009,"2080033020","SWE"
"S1111_2010",0.14194579071016,-0.0666996492444077,"S1111",2010,"2080033020","SWE"
"S1111_2011",0.144560733001774,-0.00395921878373197,"S1111",2011,"2080033020","SWE"
"S1111_2012",0.15766312023324,-0.0105716097220951,"S1111",2012,"2080033020","SWE"
"S1111_2013",0.155213288666315,-0.0462516357542032,"S1111",2013,"2080033020","SWE"
"S1112_2005",0.062757251441734,-0.0267928544142606,"S1112",2005,"2080033090","SWE"
"S1112_2008",0.0218111877061473,-0.0034800358308297,"S1112",2008,"2080033090","SWE"
"S1112_2004",0.0822661647041229,-0.00841074252072563,"S1112",2004,"2080033090","SWE"
"S1112_2006",0.070137373389508,-0.0322424320390089,"S1112",2006,"2080033090","SWE"
"S1112_2007",0.00144838029926666,-0.00944858892794778,"S1112",2007,"2080033090","SWE"
"S1112_2010",0.0987473123290828,0.00266049604122713,"S1112",2010,"2080033090","SWE"
"S1112_2011",-0.0140260651405815,0.0418795151573097,"S1112",2011,"2080033090","SWE"
"S1112_2012",0.050639133631187,-0.0124952373370496,"S1112",2012,"2080033090","SWE"
"S1112_2009",0.0599448637736379,-0.00252559131175964,"S1112",2009,"2080033090","SWE"
"S1112_2013",0.0178760684567629,0.106657663175783,"S1112",2013,"2080033090","SWE"
"S11151_2004",-0.202172401734874,0.0658939564549606,"S11151",2004,"7080047060","USA"
"S11151_2006",-0.0751999664182512,0.0623157240795583,"S11151",2006,"7080047060","USA"
"S11151_2007",-0.0212535694541227,0.109249286694705,"S11151",2007,"7080047060","USA"
"S11151_2010",-0.0673357238821825,0.0574608059091404,"S11151",2010,"7080047060","USA"
"S11151_2011",0.0247608434210138,0.114801010733146,"S11151",2011,"7080047060","USA"
"S11151_2005",-0.00586923338924947,0.0836904666169563,"S11151",2005,"7080047060","USA"
"S11151_2009",-0.0147128425264821,0.0474947615804021,"S11151",2009,"7080047060","USA"
"S11151_2013",-0.0461459139147686,0.0781182499116488,"S11151",2013,"7080047060","USA"
"S11151_2008",-0.0650207419413418,0.0712540031535726,"S11151",2008,"7080047060","USA"
"S11151_2012",-0.0760848435455484,0.0550786622713489,"S11151",2012,"7080047060","USA"
"S1117_2005",0.0697011734146588,-0.0699167155357183,"S1117",2005,"2080033090","SWE"
"S1117_2004",0.145986594362923,-0.01371815205245,"S1117",2004,"2080033090","SWE"
"S1117_2006",0.14194579071016,-0.0666996492444077,"S1117",2006,"2080033090","SWE"
"S1117_2007",0.0835397016403237,-0.0417507434000295,"S1117",2007,"2080033090","SWE"
"S1117_2010",0.107986578834132,-0.0404754631506038,"S1117",2010,"2080033090","SWE"
"S1117_2011",0.1483428567823,-0.0552656601193118,"S1117",2011,"2080033090","SWE"
"S1117_2012",0.0887440005833152,0.021924746566994,"S1117",2012,"2080033090","SWE"
"S1117_2013",0.119321844205708,0.0102186235580118,"S1117",2013,"2080033090","SWE"
"S1117_2009",0.148356313861481,-0.0433333952962746,"S1117",2009,"2080033090","SWE"
"S1121_2011",0.168610573006833,-0.0310918053917599,"S1121",2011,"2080033020","SWE"
"S1121_2004",0.270968652646508,0.0177879771026657,"S1121",2004,"2080033020","SWE"
"S1121_2005",0.26217039562945,-0.0462317640946991,"S1121",2005,"2080033020","SWE"
"S1121_2009",0.0724389372741087,-0.0188569264821552,"S1121",2009,"2080033020","SWE"
"S1121_2012",0.0695494699665317,-0.0171392266008898,"S1121",2012,"2080033020","SWE"
"S1121_2013",0.0110476641228584,-0.0155605532900769,"S1121",2013,"2080033020","SWE"
"S1121_2006",0.23599762135004,-0.0337290883428183,"S1121",2006,"2080033020","SWE"
"S1121_2008",0.250887700495449,-0.0435230915079376,"S1121",2008,"2080033020","SWE"
"S11264_2010",-0.199768303156243,0.0465880401187925,"S11264",2010,"7080047060","USA"
"S11264_2013",-0.186828100226708,0.0406816075355252,"S11264",2013,"7080047060","USA"
"S11264_2004",-0.0413157287622554,0.0856409825371664,"S11264",2004,"7080047060","USA"
"S11264_2005",-0.0178163260092661,0.0858613316482756,"S11264",2005,"7080047060","USA"
"S11264_2007",-0.090693602923892,0.105976556439056,"S11264",2007,"7080047060","USA"
"S11264_2008",-0.105247359812906,0.124670777913132,"S11264",2008,"7080047060","USA"
"S11264_2009",-0.0660555980077809,0.0991128255541708,"S11264",2009,"7080047060","USA"
"S11264_2011",-0.13934748641781,0.0593960722892333,"S11264",2011,"7080047060","USA"
"S11264_2006",-0.134045080743073,0.0925876162882686,"S11264",2006,"7080047060","USA"
"S11264_2012",-0.103978652212426,0.0367313389866225,"S11264",2012,"7080047060","USA"
"S11286_2008",0.0356436373698577,0.122222840513575,"S11286",2008,"2080053790","GBR"
"S11286_2009",0.0319202445208077,0.117675087489764,"S11286",2009,"2080053790","GBR"
"S11286_2006",-0.138584933928737,0.0530140310037559,"S11286",2006,"2080053790","GBR"
"S11286_2007",0.0300068158984151,0.129017462328154,"S11286",2007,"2080053790","GBR"
"S11286_2010",0.0276623494126907,0.125683691069976,"S11286",2010,"2080053790","GBR"
"S11286_2011",0.0212536357950958,0.124932492816239,"S11286",2011,"2080053790","GBR"
"S11286_2012",0.0297767755448796,0.130127163826959,"S11286",2012,"2080053790","GBR"
"S11286_2013",0.0414767690760239,0.126884579978013,"S11286",2013,"2080053790","GBR"
"S11286_2004",0.010012563111032,0.0961179221016422,"S11286",2004,"2080053790","GBR"
"S11286_2005",0.021117091312091,0.104784048855623,"S11286",2005,"2080053790","GBR"
"S1129_2007",0.249017422299369,-0.0560281774693823,"S1129",2007,"2080033020","SWE"
"S1129_2011",0.138190903734397,-0.0245413326756177,"S1129",2011,"2080033020","SWE"
"S1129_2004",0.232195179397733,-0.0201228689962339,"S1129",2004,"2080033020","SWE"
"S1129_2005",0.236174374905026,-0.0518291646986013,"S1129",2005,"2080033020","SWE"
"S1129_2009",0.16436651512177,-0.0304175979700172,"S1129",2009,"2080033020","SWE"
"S1129_2010",0.166749847457527,-0.0258104990043224,"S1129",2010,"2080033020","SWE"
"S1129_2012",0.14844508589768,-0.0298121067045042,"S1129",2012,"2080033020","SWE"
"S1129_2013",-0.0514015433364119,-0.0113325512094166,"S1129",2013,"2080033020","SWE"
"S1129_2006",0.140703731091777,-0.0219144707660326,"S1129",2006,"2080033020","SWE"
