"","basin_ID","Env_Var","Country","Correlation","Site_ID1","Site_ID2"
"S5546.S5212","2080016510","clim_max_raw","FRA","0.976812770811249","S5546","S5212"
"S5449.S5448","2080016510","clim_max_raw","FRA","0.999115643876581","S5449","S5448"
"S5471.S5448","2080016510","clim_max_raw","FRA","0.994562642780253","S5471","S5448"
"S5472.S5448","2080016510","clim_max_raw","FRA","0.995713037396416","S5472","S5448"
"S5490.S5448","2080016510","clim_max_raw","FRA","0.993924923284353","S5490","S5448"
"S5546.S5448","2080016510","clim_max_raw","FRA","0.987198234084207","S5546","S5448"
"S5471.S5449","2080016510","clim_max_raw","FRA","0.99701404970192","S5471","S5449"
"S5472.S5449","2080016510","clim_max_raw","FRA","0.998567341626052","S5472","S5449"
"S5490.S5449","2080016510","clim_max_raw","FRA","0.997259282091449","S5490","S5449"
"S5546.S5449","2080016510","clim_max_raw","FRA","0.991002994125635","S5546","S5449"
"S5472.S5471","2080016510","clim_max_raw","FRA","0.998373259595669","S5472","S5471"
"S5490.S5471","2080016510","clim_max_raw","FRA","0.997435876637689","S5490","S5471"
"S5546.S5471","2080016510","clim_max_raw","FRA","0.99819847156998","S5546","S5471"
"S5490.S5472","2080016510","clim_max_raw","FRA","0.999410994888583","S5490","S5472"
"S5546.S5472","2080016510","clim_max_raw","FRA","0.994249832723384","S5546","S5472"
"S5546.S5490","2080016510","clim_max_raw","FRA","0.99385197164279","S5546","S5490"
"S1481.S1468.1","2080016510","clim_min_raw","FRA","0.990216885233665","S1481","S1468"
"S1548.S1468.1","2080016510","clim_min_raw","FRA","0.999680887679131","S1548","S1468"
"S1578.S1468.1","2080016510","clim_min_raw","FRA","0.998661529240238","S1578","S1468"
"S3412.S1468.1","2080016510","clim_min_raw","FRA","0.847587544313669","S3412","S1468"
"S3440.S1468.1","2080016510","clim_min_raw","FRA","0.829394100002188","S3440","S1468"
"S5166.S1468.1","2080016510","clim_min_raw","FRA","0.882118613455997","S5166","S1468"
"S5193.S1468.1","2080016510","clim_min_raw","FRA","0.805507459760692","S5193","S1468"
"S5212.S1468.1","2080016510","clim_min_raw","FRA","0.828082492644455","S5212","S1468"
"S5448.S1468.1","2080016510","clim_min_raw","FRA","0.975696655791832","S5448","S1468"
"S5449.S1468.1","2080016510","clim_min_raw","FRA","0.961586108945926","S5449","S1468"
"S5471.S1468.1","2080016510","clim_min_raw","FRA","0.958952973718847","S5471","S1468"
"S5472.S1468.1","2080016510","clim_min_raw","FRA","0.946700180102142","S5472","S1468"
"S5490.S1468.1","2080016510","clim_min_raw","FRA","0.940689454605544","S5490","S1468"
"S5546.S1468.1","2080016510","clim_min_raw","FRA","0.949432971321883","S5546","S1468"
