"","Axis1","Axis2","site_year","site","MAIN_BAS","origin","sINGEO_ID","year"
"1012_2010",-3.78035832910953,0.44874848890917,"1012_2010",1012,"2080030160","Sweden",1012,2010
"1012_2012",-4.06364056326717,0.448218995970849,"1012_2012",1012,"2080030160","Sweden",1012,2012
"1012_2013",-3.77165942571202,0.346851298946142,"1012_2013",1012,"2080030160","Sweden",1012,2013
"1013_2004",-3.26684914339276,0.200974017147048,"1013_2004",1013,"2080030160","Sweden",1013,2004
"1013_2005",-3.53660858152476,0.154230674838182,"1013_2005",1013,"2080030160","Sweden",1013,2005
"1013_2006",-2.77839221102715,0.00312825775086097,"1013_2006",1013,"2080030160","Sweden",1013,2006
"1013_2007",-2.86502417086735,-0.029807064806041,"1013_2007",1013,"2080030160","Sweden",1013,2007
"1013_2008",-3.15538912994936,0.0641848421525091,"1013_2008",1013,"2080030160","Sweden",1013,2008
"1013_2009",-2.95854271322174,0.156335650798148,"1013_2009",1013,"2080030160","Sweden",1013,2009
"1013_2010",-3.90752461039953,0.358406543879052,"1013_2010",1013,"2080030160","Sweden",1013,2010
"1013_2012",-4.10688796797544,0.441596121788109,"1013_2012",1013,"2080030160","Sweden",1013,2012
"1013_2013",-3.96316746146997,0.351439068993917,"1013_2013",1013,"2080030160","Sweden",1013,2013
"1014_2005",-1.7701151584952,0.3225803656025,"1014_2005",1014,"2080030100","Sweden",1014,2005
"1014_2006",0.666445552948072,-0.652445649335205,"1014_2006",1014,"2080030100","Sweden",1014,2006
"1014_2007",-0.210913664938599,-0.22530051309432,"1014_2007",1014,"2080030100","Sweden",1014,2007
"1014_2008",-2.60147441054487,0.765727514014259,"1014_2008",1014,"2080030100","Sweden",1014,2008
"1014_2009",-1.47171730754829,-0.383840235203371,"1014_2009",1014,"2080030100","Sweden",1014,2009
"1014_2010",-1.10686118805741,1.05266691733848,"1014_2010",1014,"2080030100","Sweden",1014,2010
"1014_2011",1.31397625279624,-0.964605221778688,"1014_2011",1014,"2080030100","Sweden",1014,2011
"1014_2012",-0.874066497960086,1.2140143626714,"1014_2012",1014,"2080030100","Sweden",1014,2012
"1014_2013",-0.28211254365471,-0.144181385713984,"1014_2013",1014,"2080030100","Sweden",1014,2013
"1015_2004",-1.38385780192416,0.410128659399169,"1015_2004",1015,"2080033080","Sweden",1015,2004
"1015_2005",-1.33704905949996,0.453315365502198,"1015_2005",1015,"2080033080","Sweden",1015,2005
"1015_2006",-1.33704905949996,0.453315365502198,"1015_2006",1015,"2080033080","Sweden",1015,2006
"1015_2007",-1.43217650378139,0.365548833744431,"1015_2007",1015,"2080033080","Sweden",1015,2007
"1015_2008",-1.33704905949996,0.453315365502198,"1015_2008",1015,"2080033080","Sweden",1015,2008
"1015_2009",-1.36588286875998,0.341333604245492,"1015_2009",1015,"2080033080","Sweden",1015,2009
"1015_2010",-1.27894242830202,0.193869045588208,"1015_2010",1015,"2080033080","Sweden",1015,2010
"1015_2011",-1.2791523908871,0.425065057183922,"1015_2011",1015,"2080033080","Sweden",1015,2011
"1015_2012",-1.33704905949996,0.453315365502198,"1015_2012",1015,"2080033080","Sweden",1015,2012
"1015_2013",-1.33704905949996,0.453315365502198,"1015_2013",1015,"2080033080","Sweden",1015,2013
"1016_2004",-2.98310713871101,0.157830453025889,"1016_2004",1016,"2080030160","Sweden",1016,2004
"1016_2005",-3.9108259116413,0.29986950032659,"1016_2005",1016,"2080030160","Sweden",1016,2005
"1016_2006",-1.04498088457608,-0.321450092946613,"1016_2006",1016,"2080030160","Sweden",1016,2006
"1016_2007",-3.31342343054417,0.264211502587464,"1016_2007",1016,"2080030160","Sweden",1016,2007
"1016_2008",-3.10116944541739,0.217072957915606,"1016_2008",1016,"2080030160","Sweden",1016,2008
"1016_2009",-3.10845379206133,0.253046808406717,"1016_2009",1016,"2080030160","Sweden",1016,2009
"1016_2010",-2.89336153953401,0.205595608922952,"1016_2010",1016,"2080030160","Sweden",1016,2010
"1016_2012",-3.28198764862287,0.218469813839822,"1016_2012",1016,"2080030160","Sweden",1016,2012
"1016_2013",-3.45968239492439,0.114159007135246,"1016_2013",1016,"2080030160","Sweden",1016,2013
"1017_2004",-3.18407905016002,0.0449883589287279,"1017_2004",1017,"2080030160","Sweden",1017,2004
"1017_2005",-3.61381136219297,0.0543164469266104,"1017_2005",1017,"2080030160","Sweden",1017,2005
"1017_2006",-1.41093382113302,-0.268758845479742,"1017_2006",1017,"2080030160","Sweden",1017,2006
"1017_2007",-3.74981874478378,0.194077001364783,"1017_2007",1017,"2080030160","Sweden",1017,2007
"1017_2008",-3.09594854457579,-0.0329625895506106,"1017_2008",1017,"2080030160","Sweden",1017,2008
"1017_2009",-4.02312303217971,0.448294728734863,"1017_2009",1017,"2080030160","Sweden",1017,2009
"1017_2010",-2.79659756185552,-0.0623873392072047,"1017_2010",1017,"2080030160","Sweden",1017,2010
"1017_2012",-4.08255281499149,0.234758848711435,"1017_2012",1017,"2080030160","Sweden",1017,2012
"1017_2013",-3.84216807752752,0.268676435060161,"1017_2013",1017,"2080030160","Sweden",1017,2013
"1018_2004",-3.53290941900673,0.111592267445403,"1018_2004",1018,"2080030160","Sweden",1018,2004
"1018_2005",-3.38943868991502,0.238495660991767,"1018_2005",1018,"2080030160","Sweden",1018,2005
"1018_2006",-3.99258455516446,0.203541011937201,"1018_2006",1018,"2080030160","Sweden",1018,2006
"1018_2007",-3.9100276317241,0.202422494978804,"1018_2007",1018,"2080030160","Sweden",1018,2007
"1018_2008",-3.75475636574173,0.32644391803225,"1018_2008",1018,"2080030160","Sweden",1018,2008
"1018_2009",-2.72666453495765,0.013994879462849,"1018_2009",1018,"2080030160","Sweden",1018,2009
"1018_2010",-4.09430927364797,0.349851824232366,"1018_2010",1018,"2080030160","Sweden",1018,2010
"1018_2011",-4.09780918114448,0.442377745171822,"1018_2011",1018,"2080030160","Sweden",1018,2011
"1018_2012",-3.90510915769185,0.359774229893183,"1018_2012",1018,"2080030160","Sweden",1018,2012
"1018_2013",-3.92193930590515,0.271313301565167,"1018_2013",1018,"2080030160","Sweden",1018,2013
"1019_2005",-0.355384331321494,-0.0634234959892579,"1019_2005",1019,"2080030100","Sweden",1019,2005
"1019_2006",-0.741786863743263,-0.237293910474502,"1019_2006",1019,"2080030100","Sweden",1019,2006
"1019_2007",-0.0747619677495978,-0.16447885080342,"1019_2007",1019,"2080030100","Sweden",1019,2007
"1019_2008",-1.03593264031344,0.286838776288009,"1019_2008",1019,"2080030100","Sweden",1019,2008
"1019_2009",-1.48722002342816,0.0583419155605319,"1019_2009",1019,"2080030100","Sweden",1019,2009
"1019_2010",-1.20968324470509,1.59032760398965,"1019_2010",1019,"2080030100","Sweden",1019,2010
"1019_2011",-1.74543388137891,0.91963900872361,"1019_2011",1019,"2080030100","Sweden",1019,2011
"1019_2012",-0.916825284237483,1.13039954344281,"1019_2012",1019,"2080030100","Sweden",1019,2012
"1019_2013",0.0716923842775968,0.0954793492406764,"1019_2013",1019,"2080030100","Sweden",1019,2013
"1020_2004",-3.84166977406212,0.27115564748139,"1020_2004",1020,"2080030160","Sweden",1020,2004
"1020_2005",-3.85132472630169,0.344571254206307,"1020_2005",1020,"2080030160","Sweden",1020,2005
"1020_2006",-4.01054975848122,0.430757961724922,"1020_2006",1020,"2080030160","Sweden",1020,2006
"1020_2007",-3.99065441194365,0.328081587291982,"1020_2007",1020,"2080030160","Sweden",1020,2007
"1020_2008",-4.00669219877847,0.427285244188314,"1020_2008",1020,"2080030160","Sweden",1020,2008
"1020_2009",-4.07324901975304,0.421517694929944,"1020_2009",1020,"2080030160","Sweden",1020,2009
"1020_2010",-4.13532159708137,0.433148081350262,"1020_2010",1020,"2080030160","Sweden",1020,2010
"1020_2011",-4.05279549013908,0.410487735488038,"1020_2011",1020,"2080030160","Sweden",1020,2011
"1020_2012",-4.07569506077746,0.397443006490835,"1020_2012",1020,"2080030160","Sweden",1020,2012
"1020_2013",-4.162179333188,0.387345478008337,"1020_2013",1020,"2080030160","Sweden",1020,2013
"1021_2005",-3.76280268647044,0.138677275616723,"1021_2005",1021,"2080030160","Sweden",1021,2005
"1021_2006",-3.32640337546312,0.158814434636234,"1021_2006",1021,"2080030160","Sweden",1021,2006
"1021_2007",-3.90772888491569,0.316483346282758,"1021_2007",1021,"2080030160","Sweden",1021,2007
"1021_2008",-4.01121545373447,0.203506188259476,"1021_2008",1021,"2080030160","Sweden",1021,2008
"1021_2009",-3.24592070144579,-0.504929792156368,"1021_2009",1021,"2080030160","Sweden",1021,2009
"1021_2010",-4.06364056326717,0.448218995970849,"1021_2010",1021,"2080030160","Sweden",1021,2010
"1021_2011",-3.72950864181645,-0.0743440837029189,"1021_2011",1021,"2080030160","Sweden",1021,2011
"1021_2012",-3.7972216976821,0.0648301188827,"1021_2012",1021,"2080030160","Sweden",1021,2012
"1021_2013",-4.06266299094184,0.32537703115349,"1021_2013",1021,"2080030160","Sweden",1021,2013
"1022_2004",-3.62102971133005,0.320867565371858,"1022_2004",1022,"2080030160","Sweden",1022,2004
"1022_2005",-3.84551324296579,0.448626705533355,"1022_2005",1022,"2080030160","Sweden",1022,2005
"1022_2006",-3.98396743491033,0.44836791585975,"1022_2006",1022,"2080030160","Sweden",1022,2006
"1022_2007",-3.84675260274023,0.448624389001751,"1022_2007",1022,"2080030160","Sweden",1022,2007
"1022_2008",-3.87828242085135,0.410030422575907,"1022_2008",1022,"2080030160","Sweden",1022,2008
"1022_2009",-3.95582633898664,0.448420515386906,"1022_2009",1022,"2080030160","Sweden",1022,2009
"1022_2010",-4.03615446792304,0.388816320426719,"1022_2010",1022,"2080030160","Sweden",1022,2010
"1022_2011",-3.88315115628878,0.402822469945478,"1022_2011",1022,"2080030160","Sweden",1022,2011
"1022_2012",-4.05238190148982,0.425426776030687,"1022_2012",1022,"2080030160","Sweden",1022,2012
"1022_2013",-4.06497320818592,0.448216505076649,"1022_2013",1022,"2080030160","Sweden",1022,2013
"1024_2004",-1.56139063040957,-0.281754673350052,"1024_2004",1024,"2080030160","Sweden",1024,2004
"1024_2005",-2.87920138337992,0.220228376077228,"1024_2005",1024,"2080030160","Sweden",1024,2005
"1024_2006",-1.87222146488076,-0.209522874530718,"1024_2006",1024,"2080030160","Sweden",1024,2006
"1024_2007",-0.612178875782794,-0.591431090084226,"1024_2007",1024,"2080030160","Sweden",1024,2007
"1024_2008",-2.64949362557608,0.0424491483030427,"1024_2008",1024,"2080030160","Sweden",1024,2008
"1024_2009",-1.74542670635652,-0.0848619682046411,"1024_2009",1024,"2080030160","Sweden",1024,2009
"1024_2010",-3.32541699910416,0.188290265539838,"1024_2010",1024,"2080030160","Sweden",1024,2010
"1024_2011",-2.85916022949342,0.109026078554253,"1024_2011",1024,"2080030160","Sweden",1024,2011
"1024_2012",-3.06401546317466,0.153611941790511,"1024_2012",1024,"2080030160","Sweden",1024,2012
"1024_2013",-3.57638032504162,0.274420981089869,"1024_2013",1024,"2080030160","Sweden",1024,2013
"1025_2005",-1.51009974619449,0.365576294152377,"1025_2005",1025,"2080030100","Sweden",1025,2005
"1025_2006",-2.59282122037323,0.478919666482958,"1025_2006",1025,"2080030100","Sweden",1025,2006
"1025_2007",-2.49143930621805,0.621357426011199,"1025_2007",1025,"2080030100","Sweden",1025,2007
"1025_2008",-3.44329228256395,0.606529475333117,"1025_2008",1025,"2080030100","Sweden",1025,2008
"1025_2009",-2.7496287971384,0.241635521995139,"1025_2009",1025,"2080030100","Sweden",1025,2009
"1025_2010",-2.41592356729585,0.802584481094361,"1025_2010",1025,"2080030100","Sweden",1025,2010
"1025_2011",-1.63374386440728,0.210496065280489,"1025_2011",1025,"2080030100","Sweden",1025,2011
"1025_2012",-1.62336974595319,1.18926901350633,"1025_2012",1025,"2080030100","Sweden",1025,2012
"1025_2013",-1.74991851131941,0.302487220827652,"1025_2013",1025,"2080030100","Sweden",1025,2013
"1026_2004",-0.383710083664779,1.23023749841636,"1026_2004",1026,"2080033080","Sweden",1026,2004
"1026_2005",0.575310430182347,1.53733349796818,"1026_2005",1026,"2080033080","Sweden",1026,2005
"1026_2006",0.68108332911415,1.12517405590113,"1026_2006",1026,"2080033080","Sweden",1026,2006
"1026_2007",1.47345530802492,2.03743347126557,"1026_2007",1026,"2080033080","Sweden",1026,2007
"1026_2008",0.982830633631562,1.80877042109557,"1026_2008",1026,"2080033080","Sweden",1026,2008
"1026_2009",2.26858735374036,2.43536966731146,"1026_2009",1026,"2080033080","Sweden",1026,2009
"1026_2010",0.653949138254096,1.42695219989082,"1026_2010",1026,"2080033080","Sweden",1026,2010
"1026_2011",1.42845529045793,1.97368377750586,"1026_2011",1026,"2080033080","Sweden",1026,2011
"1026_2012",1.32146500061693,1.92527360477594,"1026_2012",1026,"2080033080","Sweden",1026,2012
"1026_2013",0.218566437809227,1.17195517748354,"1026_2013",1026,"2080033080","Sweden",1026,2013
"1027_2004",-3.72044077700435,0.258563078683264,"1027_2004",1027,"2080030160","Sweden",1027,2004
"1027_2005",-4.04252085480323,0.43237066277972,"1027_2005",1027,"2080030160","Sweden",1027,2005
"1027_2006",-3.86973299988924,0.417052772225163,"1027_2006",1027,"2080030160","Sweden",1027,2006
"1027_2007",-2.70147146014728,0.272879781389457,"1027_2007",1027,"2080030160","Sweden",1027,2007
"1027_2008",-3.31881706760154,0.23888551679789,"1027_2008",1027,"2080030160","Sweden",1027,2008
"1027_2009",-3.07186277834006,0.209771577300173,"1027_2009",1027,"2080030160","Sweden",1027,2009
"1027_2010",-3.99488730763231,0.349279930915842,"1027_2010",1027,"2080030160","Sweden",1027,2010
"1027_2011",-3.49388812234368,0.228189958215082,"1027_2011",1027,"2080030160","Sweden",1027,2011
"1027_2012",-4.02493920690802,0.437824071794678,"1027_2012",1027,"2080030160","Sweden",1027,2012
"1027_2013",-4.07373759135708,0.276580182841031,"1027_2013",1027,"2080030160","Sweden",1027,2013
"1030_2005",-1.03261581457927,0.251940380887547,"1030_2005",1030,"2080030100","Sweden",1030,2005
"1030_2006",-1.96366789329453,0.106795691514359,"1030_2006",1030,"2080030100","Sweden",1030,2006
"1030_2007",-3.01460858605566,0.333331825319939,"1030_2007",1030,"2080030100","Sweden",1030,2007
"1030_2008",-2.43342882469375,0.220082825242171,"1030_2008",1030,"2080030100","Sweden",1030,2008
"1030_2009",-2.47768453740316,0.184230241104099,"1030_2009",1030,"2080030100","Sweden",1030,2009
"1030_2010",-2.02209922362348,0.921276724353203,"1030_2010",1030,"2080030100","Sweden",1030,2010
"1030_2011",-1.27803226015269,0.547002640877307,"1030_2011",1030,"2080030100","Sweden",1030,2011
"1030_2012",-0.571373711563273,1.61453911676324,"1030_2012",1030,"2080030100","Sweden",1030,2012
"1030_2013",-0.547174065613812,0.701035961005947,"1030_2013",1030,"2080030100","Sweden",1030,2013
"1032_2004",-0.682050220647766,-0.574033992713604,"1032_2004",1032,"2080030160","Sweden",1032,2004
"1032_2005",-3.5141467760472,0.169305842042488,"1032_2005",1032,"2080030160","Sweden",1032,2005
"1032_2006",-0.660209603024724,-0.510912935200577,"1032_2006",1032,"2080030160","Sweden",1032,2006
"1032_2007",-1.30209827041451,-0.28002846805136,"1032_2007",1032,"2080030160","Sweden",1032,2007
"1032_2008",-2.44022594598867,0.0143795197594846,"1032_2008",1032,"2080030160","Sweden",1032,2008
"1032_2009",-2.56012350660779,0.00986527290291021,"1032_2009",1032,"2080030160","Sweden",1032,2009
"1032_2010",-2.60295921889635,0.0552931063720365,"1032_2010",1032,"2080030160","Sweden",1032,2010
"1032_2011",-2.66993937466576,0.0547242814865834,"1032_2011",1032,"2080030160","Sweden",1032,2011
"1032_2012",-2.8547496348681,0.0857662848650464,"1032_2012",1032,"2080030160","Sweden",1032,2012
"1032_2013",-3.77455382261428,0.199145595849714,"1032_2013",1032,"2080030160","Sweden",1032,2013
"1036_2004",-3.99153821918112,0.417779730218372,"1036_2004",1036,"2080030160","Sweden",1036,2004
"1036_2005",-4.03303292528522,0.407797571204262,"1036_2005",1036,"2080030160","Sweden",1036,2005
"1036_2006",-3.76508717646061,0.331283933071164,"1036_2006",1036,"2080030160","Sweden",1036,2006
"1036_2007",-2.55870369430475,0.451031927205684,"1036_2007",1036,"2080030160","Sweden",1036,2007
"1036_2008",-3.72757138438021,0.375007976443467,"1036_2008",1036,"2080030160","Sweden",1036,2008
"1036_2009",-4.05800710974699,0.448229525659962,"1036_2009",1036,"2080030160","Sweden",1036,2009
"1036_2010",-4.07825527212633,0.425953069860789,"1036_2010",1036,"2080030160","Sweden",1036,2010
"1036_2011",-4.1756496474843,0.448009635792307,"1036_2011",1036,"2080030160","Sweden",1036,2011
"1036_2012",-4.18757654071113,0.447987342810332,"1036_2012",1036,"2080030160","Sweden",1036,2012
"1036_2013",-4.18757654071113,0.447987342810332,"1036_2013",1036,"2080030160","Sweden",1036,2013
"1038_2005",-0.0807690875194061,1.16265941979923,"1038_2005",1038,"2080030100","Sweden",1038,2005
"1038_2006",-1.15062052866607,0.629169247013648,"1038_2006",1038,"2080030100","Sweden",1038,2006
"1038_2007",-0.774623715784743,-0.112561006613517,"1038_2007",1038,"2080030100","Sweden",1038,2007
"1038_2008",-1.90156379866973,0.763970253543149,"1038_2008",1038,"2080030100","Sweden",1038,2008
"1038_2009",-3.35420768018873,0.713219486047,"1038_2009",1038,"2080030100","Sweden",1038,2009
"1038_2010",-1.50036521789079,1.23174337160546,"1038_2010",1038,"2080030100","Sweden",1038,2010
"1038_2011",-1.92890895582602,0.601926107930363,"1038_2011",1038,"2080030100","Sweden",1038,2011
"1038_2012",-1.65352204094857,1.24366189689404,"1038_2012",1038,"2080030100","Sweden",1038,2012
"1038_2013",-1.39757941551063,0.963970777317717,"1038_2013",1038,"2080030100","Sweden",1038,2013
"1041_2005",-1.45812341843295,1.35490629105389,"1041_2005",1041,"2080030100","Sweden",1041,2005
"1041_2006",-2.0592525313792,0.831115583931277,"1041_2006",1041,"2080030100","Sweden",1041,2006
"1041_2007",-1.37425761543861,1.11133194074571,"1041_2007",1041,"2080030100","Sweden",1041,2007
"1041_2008",-2.36406847888273,0.540357586924454,"1041_2008",1041,"2080030100","Sweden",1041,2008
"1041_2009",-3.15117950254463,0.858427285902403,"1041_2009",1041,"2080030100","Sweden",1041,2009
"1041_2010",-0.359282798176095,1.73040735854709,"1041_2010",1041,"2080030100","Sweden",1041,2010
"1041_2011",0.0200833241134908,0.474535793450182,"1041_2011",1041,"2080030100","Sweden",1041,2011
"1041_2012",0.130950651482153,2.10240395374471,"1041_2012",1041,"2080030100","Sweden",1041,2012
"1041_2013",-1.76918656305875,1.09536412046374,"1041_2013",1041,"2080030100","Sweden",1041,2013
"1042_2005",1.98053857604423,1.89079870395936,"1042_2005",1042,"2080030100","Sweden",1042,2005
"1042_2006",1.29448766014077,2.07067287798219,"1042_2006",1042,"2080030100","Sweden",1042,2006
"1042_2008",-1.26027175311756,1.01625538303576,"1042_2008",1042,"2080030100","Sweden",1042,2008
"1042_2009",-1.4913888316787,0.64279546697828,"1042_2009",1042,"2080030100","Sweden",1042,2009
"1042_2010",0.641048941909845,1.81546992666681,"1042_2010",1042,"2080030100","Sweden",1042,2010
"1042_2011",0.773835152953403,1.64107544396356,"1042_2011",1042,"2080030100","Sweden",1042,2011
"1042_2012",1.9539531909527,2.57857161739143,"1042_2012",1042,"2080030100","Sweden",1042,2012
"1042_2013",-1.51311996541733,1.33469840515576,"1042_2013",1042,"2080030100","Sweden",1042,2013
"1049_2004",-0.204898755354594,1.05932536015262,"1049_2004",1049,"2080030100","Sweden",1049,2004
"1049_2005",0.06193491912796,1.51169021322978,"1049_2005",1049,"2080030100","Sweden",1049,2005
"1049_2007",-1.61039650661684,1.02670606614433,"1049_2007",1049,"2080030100","Sweden",1049,2007
"1049_2008",-0.606488712727639,1.2570175277779,"1049_2008",1049,"2080030100","Sweden",1049,2008
"1049_2009",-0.40412577851818,1.33861675159937,"1049_2009",1049,"2080030100","Sweden",1049,2009
"1049_2010",-0.941902639019125,1.10077802654614,"1049_2010",1049,"2080030100","Sweden",1049,2010
"1049_2011",-1.56137620743939,0.988568961281682,"1049_2011",1049,"2080030100","Sweden",1049,2011
"1049_2012",0.541727037926086,1.57175560265524,"1049_2012",1049,"2080030100","Sweden",1049,2012
"1049_2013",-0.0956171924251073,1.45107342920308,"1049_2013",1049,"2080030100","Sweden",1049,2013
"1054_2004",0.470969014884776,-0.0641243328098374,"1054_2004",1054,"2080030100","Sweden",1054,2004
"1054_2005",0.703280733251005,1.378106086672,"1054_2005",1054,"2080030100","Sweden",1054,2005
"1054_2006",-2.52724397208876,0.654574289706408,"1054_2006",1054,"2080030100","Sweden",1054,2006
"1054_2007",-0.640332436224933,0.360027252642255,"1054_2007",1054,"2080030100","Sweden",1054,2007
"1054_2008",-1.97005023045351,1.07717557853159,"1054_2008",1054,"2080030100","Sweden",1054,2008
"1054_2009",-0.178406335422562,0.234284175526273,"1054_2009",1054,"2080030100","Sweden",1054,2009
"1054_2010",-1.77023014600363,0.649045730891977,"1054_2010",1054,"2080030100","Sweden",1054,2010
"1054_2011",-1.26826464993884,0.497516553766403,"1054_2011",1054,"2080030100","Sweden",1054,2011
"1054_2012",-1.59353739421459,1.03136757220799,"1054_2012",1054,"2080030100","Sweden",1054,2012
"1054_2013",-1.19074186168502,0.0820144506580303,"1054_2013",1054,"2080030100","Sweden",1054,2013
"1055_2004",0.53371517878938,1.36529169588102,"1055_2004",1055,"2080030100","Sweden",1055,2004
"1055_2006",-2.0823503287014,0.29949212195952,"1055_2006",1055,"2080030100","Sweden",1055,2006
"1055_2007",-2.74010592533544,0.645299522736524,"1055_2007",1055,"2080030100","Sweden",1055,2007
"1055_2008",-2.59421749964153,0.811582550992331,"1055_2008",1055,"2080030100","Sweden",1055,2008
"1055_2009",-2.11759722304346,0.549955694843331,"1055_2009",1055,"2080030100","Sweden",1055,2009
"1055_2010",-1.63475515082937,0.560666500961824,"1055_2010",1055,"2080030100","Sweden",1055,2010
"1055_2011",-3.6072734353996,0.341593266629659,"1055_2011",1055,"2080030100","Sweden",1055,2011
"1055_2012",-1.33165282665177,0.667428769064105,"1055_2012",1055,"2080030100","Sweden",1055,2012
"1055_2013",-2.95637236621641,0.919053075635259,"1055_2013",1055,"2080030100","Sweden",1055,2013
"1056_2004",1.07726284193218,1.39298566657656,"1056_2004",1056,"2080030100","Sweden",1056,2004
"1056_2005",0.881635638122203,1.16572097055323,"1056_2005",1056,"2080030100","Sweden",1056,2005
"1056_2006",-1.20437305488035,1.12255187962949,"1056_2006",1056,"2080030100","Sweden",1056,2006
"1056_2007",-3.03056732319524,0.726028456761391,"1056_2007",1056,"2080030100","Sweden",1056,2007
"1056_2008",-2.51862006796919,1.09506608671479,"1056_2008",1056,"2080030100","Sweden",1056,2008
"1056_2009",-1.88326870972234,0.353797006179958,"1056_2009",1056,"2080030100","Sweden",1056,2009
"1056_2010",-3.41773750545412,0.539715680297138,"1056_2010",1056,"2080030100","Sweden",1056,2010
"1056_2011",-0.938569852726104,0.645716116208014,"1056_2011",1056,"2080030100","Sweden",1056,2011
"1056_2012",-2.48367247397754,0.725098344345312,"1056_2012",1056,"2080030100","Sweden",1056,2012
"1056_2013",-2.64420655673387,0.729926065340323,"1056_2013",1056,"2080030100","Sweden",1056,2013
"1060_2004",-0.249036457053823,2.00775074261893,"1060_2004",1060,"2080030100","Sweden",1060,2004
"1060_2005",-0.972527821812261,1.58017202232268,"1060_2005",1060,"2080030100","Sweden",1060,2005
"1060_2006",-1.91170548699704,0.845478806300336,"1060_2006",1060,"2080030100","Sweden",1060,2006
"1060_2007",-3.18366404307666,0.801593029317348,"1060_2007",1060,"2080030100","Sweden",1060,2007
"1060_2008",-3.00488496879263,0.894378921833227,"1060_2008",1060,"2080030100","Sweden",1060,2008
"1060_2009",-2.6111966821836,0.937367855575394,"1060_2009",1060,"2080030100","Sweden",1060,2009
"1060_2010",-2.42756681433257,1.03369866248584,"1060_2010",1060,"2080030100","Sweden",1060,2010
"1060_2011",-2.44350046189933,1.08105644724046,"1060_2011",1060,"2080030100","Sweden",1060,2011
"1060_2012",-3.01499153879347,0.596000072145732,"1060_2012",1060,"2080030100","Sweden",1060,2012
"1060_2013",-2.15266416415485,1.25386509937811,"1060_2013",1060,"2080030100","Sweden",1060,2013
"1061_2004",0.566390335841394,1.32122055110744,"1061_2004",1061,"2080030100","Sweden",1061,2004
"1061_2005",0.798265542100734,2.01418501856775,"1061_2005",1061,"2080030100","Sweden",1061,2005
"1061_2006",-1.15809459565386,0.2531082920261,"1061_2006",1061,"2080030100","Sweden",1061,2006
"1061_2007",-1.95888178797691,0.7122229387147,"1061_2007",1061,"2080030100","Sweden",1061,2007
"1061_2008",-3.07268433497558,0.791589796217836,"1061_2008",1061,"2080030100","Sweden",1061,2008
"1061_2009",0.0400540678068007,1.91024204056242,"1061_2009",1061,"2080030100","Sweden",1061,2009
"1061_2010",-0.750828414102267,1.76662991558031,"1061_2010",1061,"2080030100","Sweden",1061,2010
"1061_2011",-2.73844571767584,0.903570941275726,"1061_2011",1061,"2080030100","Sweden",1061,2011
"1061_2012",-1.9746506384443,0.962212771349336,"1061_2012",1061,"2080030100","Sweden",1061,2012
"1061_2013",-2.4157884331654,1.13313824815801,"1061_2013",1061,"2080030100","Sweden",1061,2013
