"","basin_ID","Axis","Correlation","Site_ID1","Site_ID2"
"S5166.S3440","2080016510","Axis1",NA,"S5166","S3440"
"S5193.S3440","2080016510","Axis1","0.597787078296595","S5193","S3440"
"S5212.S3440","2080016510","Axis1","0.305390195301493","S5212","S3440"
"S5448.S3440","2080016510","Axis1",NA,"S5448","S3440"
"S5449.S3440","2080016510","Axis1","0.627933124955835","S5449","S3440"
"S5471.S3440","2080016510","Axis1","-0.176687771486823","S5471","S3440"
"S5472.S3440","2080016510","Axis1","0.324666251218023","S5472","S3440"
"S5490.S3440","2080016510","Axis1","-0.0473188270629614","S5490","S3440"
"S5546.S3440","2080016510","Axis1","0.0375798837697418","S5546","S3440"
"S5193.S5166","2080016510","Axis1",NA,"S5193","S5166"
"S5212.S5166","2080016510","Axis1",NA,"S5212","S5166"
"S5448.S5166","2080016510","Axis1",NA,"S5448","S5166"
"S5449.S5166","2080016510","Axis1",NA,"S5449","S5166"
"S5471.S5166","2080016510","Axis1",NA,"S5471","S5166"
"S5472.S5166","2080016510","Axis1",NA,"S5472","S5166"
"S5490.S5166","2080016510","Axis1",NA,"S5490","S5166"
"S5546.S5166","2080016510","Axis1",NA,"S5546","S5166"
"S5212.S5193","2080016510","Axis1","0.0954084245760276","S5212","S5193"
"S5448.S5193","2080016510","Axis1",NA,"S5448","S5193"
"S5449.S5193","2080016510","Axis1","0.00263569223384497","S5449","S5193"
"S5471.S5193","2080016510","Axis1","0.324671378306368","S5471","S5193"
"S5472.S5193","2080016510","Axis1","0.415704994600864","S5472","S5193"
"S5490.S5193","2080016510","Axis1","0.235210474054876","S5490","S5193"
"S5546.S5193","2080016510","Axis1","0.026582009501644","S5546","S5193"
"S5448.S5212","2080016510","Axis1",NA,"S5448","S5212"
"S5449.S5212","2080016510","Axis1","-0.00545128387434966","S5449","S5212"
"S5471.S5212","2080016510","Axis1","0.378118988468155","S5471","S5212"
"S5472.S5212","2080016510","Axis1","-0.100789101001588","S5472","S5212"
"S5490.S5212","2080016510","Axis1","0.123480542206403","S5490","S5212"
"S5546.S5212","2080016510","Axis1","-0.52306014487291","S5546","S5212"
"S5449.S5448","2080016510","Axis1",NA,"S5449","S5448"
"S5471.S5448","2080016510","Axis1",NA,"S5471","S5448"
"S5472.S5448","2080016510","Axis1",NA,"S5472","S5448"
"S5490.S5448","2080016510","Axis1",NA,"S5490","S5448"
"S5546.S5448","2080016510","Axis1",NA,"S5546","S5448"
"S5471.S5449","2080016510","Axis1","-0.457354155981604","S5471","S5449"
"S5472.S5449","2080016510","Axis1","-0.296217781961942","S5472","S5449"
"S5490.S5449","2080016510","Axis1","-0.410810403240874","S5490","S5449"
"S5546.S5449","2080016510","Axis1","0.320290555193837","S5546","S5449"
"S5472.S5471","2080016510","Axis1","-0.0165871952396666","S5472","S5471"
"S5490.S5471","2080016510","Axis1","0.610564668273769","S5490","S5471"
"S5546.S5471","2080016510","Axis1","-0.300440591440892","S5546","S5471"
"S5490.S5472","2080016510","Axis1","0.206331199070004","S5490","S5472"
"S5546.S5472","2080016510","Axis1","-0.11811554939088","S5546","S5472"
"S5546.S5490","2080016510","Axis1","-0.131883197432669","S5546","S5490"
"S10038.S10015","2080029400","Axis1","0.175870710109395","S10038","S10015"
"S11887.S10015","2080029400","Axis1","-0.48113665592095","S11887","S10015"
"S11924.S10015","2080029400","Axis1","0.404895837029871","S11924","S10015"
"S11928.S10015","2080029400","Axis1","-0.256538441650905","S11928","S10015"
"S12211.S10015","2080029400","Axis1","0.60536184178599","S12211","S10015"
"S12290.S10015","2080029400","Axis1","0.719035033825496","S12290","S10015"
"S12298.S10015","2080029400","Axis1","-0.534302388846878","S12298","S10015"
"S12306.S10015","2080029400","Axis1","0.408944677421005","S12306","S10015"
"S12317.S10015","2080029400","Axis1","0.303840776735909","S12317","S10015"
"S11887.S10038","2080029400","Axis1","0.190147438614469","S11887","S10038"
"S11924.S10038","2080029400","Axis1","0.722483976092033","S11924","S10038"
"S11928.S10038","2080029400","Axis1","0.45403646550209","S11928","S10038"
"S12211.S10038","2080029400","Axis1","0.298021226629742","S12211","S10038"
"S12290.S10038","2080029400","Axis1","0.503492810786098","S12290","S10038"
"S12298.S10038","2080029400","Axis1","-0.428784040599437","S12298","S10038"
"S12306.S10038","2080029400","Axis1","0.141392136256006","S12306","S10038"
"S12317.S10038","2080029400","Axis1","0.222550630701709","S12317","S10038"
"S11924.S11887","2080029400","Axis1","0.122632310857527","S11924","S11887"
"S11928.S11887","2080029400","Axis1","0.846981188867234","S11928","S11887"
"S12211.S11887","2080029400","Axis1","-0.194349872607452","S12211","S11887"
"S12290.S11887","2080029400","Axis1","-0.161196587544867","S12290","S11887"
"S12298.S11887","2080029400","Axis1","0.212156961666073","S12298","S11887"
"S12306.S11887","2080029400","Axis1","-0.0775112669336582","S12306","S11887"
"S12317.S11887","2080029400","Axis1","0.0453146029575017","S12317","S11887"
"S11928.S11924","2080029400","Axis1","0.43435702583422","S11928","S11924"
"S12211.S11924","2080029400","Axis1","0.319278750857034","S12211","S11924"
"S12290.S11924","2080029400","Axis1","0.701579986018664","S12290","S11924"
"S12298.S11924","2080029400","Axis1","-0.146310598226658","S12298","S11924"
"S12306.S11924","2080029400","Axis1","0.494086580436746","S12306","S11924"
"S12317.S11924","2080029400","Axis1","0.284264156670062","S12317","S11924"
"S12211.S11928","2080029400","Axis1","0.079083638830631","S12211","S11928"
"S12290.S11928","2080029400","Axis1","-0.00945127690426794","S12290","S11928"
"S12298.S11928","2080029400","Axis1","-0.123002852726603","S12298","S11928"
"S12306.S11928","2080029400","Axis1","0.122723917943979","S12306","S11928"
"S12317.S11928","2080029400","Axis1","0.0624991726818887","S12317","S11928"
"S12290.S12211","2080029400","Axis1","0.632066360770386","S12290","S12211"
"S12298.S12211","2080029400","Axis1","-0.613381557474146","S12298","S12211"
"S12306.S12211","2080029400","Axis1","0.522108702396228","S12306","S12211"
"S12317.S12211","2080029400","Axis1","0.581907043518389","S12317","S12211"
"S12298.S12290","2080029400","Axis1","-0.348559510332313","S12298","S12290"
"S12306.S12290","2080029400","Axis1","0.33005266727561","S12306","S12290"
"S12317.S12290","2080029400","Axis1","0.375039012639403","S12317","S12290"
"S12306.S12298","2080029400","Axis1","0.00305598431212586","S12306","S12298"
"S12317.S12298","2080029400","Axis1","0.107876097033089","S12317","S12298"
"S12317.S12306","2080029400","Axis1","0.662269141141482","S12317","S12306"
"S10038.S10015.1","2080029400","Axis2","0.511853711247247","S10038","S10015"
"S11887.S10015.1","2080029400","Axis2","0.783427875003362","S11887","S10015"
"S11924.S10015.1","2080029400","Axis2","0.216334205436488","S11924","S10015"
"S11928.S10015.1","2080029400","Axis2","-0.0803783124362336","S11928","S10015"
"S12211.S10015.1","2080029400","Axis2","-0.121465377115847","S12211","S10015"
"S12290.S10015.1","2080029400","Axis2","0.80311268184787","S12290","S10015"
"S12298.S10015.1","2080029400","Axis2","0.392783899556643","S12298","S10015"
"S12306.S10015.1","2080029400","Axis2","0.278666896578171","S12306","S10015"
"S12317.S10015.1","2080029400","Axis2","0.0249256532247887","S12317","S10015"
"S11887.S10038.1","2080029400","Axis2","0.569205304892299","S11887","S10038"
"S11924.S10038.1","2080029400","Axis2","0.0781050762107649","S11924","S10038"
"S11928.S10038.1","2080029400","Axis2","0.0809108779122085","S11928","S10038"
"S12211.S10038.1","2080029400","Axis2","0.596946772095891","S12211","S10038"
"S12290.S10038.1","2080029400","Axis2","0.214144114417271","S12290","S10038"
"S12298.S10038.1","2080029400","Axis2","-0.0977825027920457","S12298","S10038"
"S12306.S10038.1","2080029400","Axis2","0.117090156227184","S12306","S10038"
"S12317.S10038.1","2080029400","Axis2","0.28759762968282","S12317","S10038"
"S11924.S11887.1","2080029400","Axis2","0.200469961752297","S11924","S11887"
"S11928.S11887.1","2080029400","Axis2","-0.299439959035262","S11928","S11887"
"S12211.S11887.1","2080029400","Axis2","-0.113142003922392","S12211","S11887"
"S12290.S11887.1","2080029400","Axis2","0.365778655680692","S12290","S11887"
"S12298.S11887.1","2080029400","Axis2","0.160285639614953","S12298","S11887"
"S12306.S11887.1","2080029400","Axis2","0.0879012205993475","S12306","S11887"
"S12317.S11887.1","2080029400","Axis2","0.16093461924998","S12317","S11887"
"S11928.S11924.1","2080029400","Axis2","0.334377617888866","S11928","S11924"
"S12211.S11924.1","2080029400","Axis2","0.00343793907794898","S12211","S11924"
"S12290.S11924.1","2080029400","Axis2","0.249970595572989","S12290","S11924"
"S12298.S11924.1","2080029400","Axis2","-0.413780442434629","S12298","S11924"
"S12306.S11924.1","2080029400","Axis2","0.402151676903507","S12306","S11924"
"S12317.S11924.1","2080029400","Axis2","0.691990707106221","S12317","S11924"
"S12211.S11928.1","2080029400","Axis2","0.582904151176791","S12211","S11928"
"S12290.S11928.1","2080029400","Axis2","0.059382711822807","S12290","S11928"
"S12298.S11928.1","2080029400","Axis2","-0.207550987012435","S12298","S11928"
"S12306.S11928.1","2080029400","Axis2","-0.129509812334939","S12306","S11928"
"S12317.S11928.1","2080029400","Axis2","0.422616945271347","S12317","S11928"
"S12290.S12211.1","2080029400","Axis2","-0.257495794965096","S12290","S12211"
"S12298.S12211.1","2080029400","Axis2","-0.185982764015386","S12298","S12211"
"S12306.S12211.1","2080029400","Axis2","0.0704370127108108","S12306","S12211"
"S12317.S12211.1","2080029400","Axis2","0.413914109784879","S12317","S12211"
"S12298.S12290.1","2080029400","Axis2","0.160819441378726","S12298","S12290"
"S12306.S12290.1","2080029400","Axis2","0.0991968168737552","S12306","S12290"
"S12317.S12290.1","2080029400","Axis2","-0.0133002341259288","S12317","S12290"
"S12306.S12298.1","2080029400","Axis2","0.416739512922666","S12306","S12298"
"S12317.S12298.1","2080029400","Axis2","-0.671236255647398","S12317","S12298"
"S12317.S12306.1","2080029400","Axis2","0.0500027689974302","S12317","S12306"
"S10329.S10089","7080049270","Axis1","-0.533781918618964","S10329","S10089"
"S10459.S10089","7080049270","Axis1","0.530610112365736","S10459","S10089"
"S8637.S10089","7080049270","Axis1","-0.879402175981956","S8637","S10089"
"S8762.S10089","7080049270","Axis1","0.780235443317903","S8762","S10089"
"S8891.S10089","7080049270","Axis1","-0.811607708279331","S8891","S10089"
"S9167.S10089","7080049270","Axis1","0.501148088871786","S9167","S10089"
"S9315.S10089","7080049270","Axis1","0.605981170721192","S9315","S10089"
"S9449.S10089","7080049270","Axis1","0.282384905119558","S9449","S10089"
"S9583.S10089","7080049270","Axis1","0.314498533639501","S9583","S10089"
"S9721.S10089","7080049270","Axis1","-0.847639967284965","S9721","S10089"
"S9965.S10089","7080049270","Axis1","0.491042869481431","S9965","S10089"
"S10459.S10329","7080049270","Axis1","-0.145762412216595","S10459","S10329"
"S8637.S10329","7080049270","Axis1","0.337063792022837","S8637","S10329"
"S8762.S10329","7080049270","Axis1","-0.736394632150191","S8762","S10329"
"S8891.S10329","7080049270","Axis1","0.338175435930225","S8891","S10329"
"S9167.S10329","7080049270","Axis1","0.175002882945903","S9167","S10329"
"S9315.S10329","7080049270","Axis1","-0.0475041875508374","S9315","S10329"
"S9449.S10329","7080049270","Axis1","-0.397021468281634","S9449","S10329"
"S9583.S10329","7080049270","Axis1","-0.130706078632346","S9583","S10329"
"S9721.S10329","7080049270","Axis1","0.519536773997174","S9721","S10329"
"S9965.S10329","7080049270","Axis1","-0.502804639022167","S9965","S10329"
"S8637.S10459","7080049270","Axis1","-0.63867614937207","S8637","S10459"
"S8762.S10459","7080049270","Axis1","0.55995481522927","S8762","S10459"
"S8891.S10459","7080049270","Axis1","-0.755068983761521","S8891","S10459"
"S9167.S10459","7080049270","Axis1","0.393738451983642","S9167","S10459"
"S9315.S10459","7080049270","Axis1","0.199560039833345","S9315","S10459"
"S9449.S10459","7080049270","Axis1","-0.565203014740467","S9449","S10459"
"S9583.S10459","7080049270","Axis1","-0.366059380714998","S9583","S10459"
"S9721.S10459","7080049270","Axis1","-0.602759556872469","S9721","S10459"
"S9965.S10459","7080049270","Axis1","0.237967566623921","S9965","S10459"
"S8762.S8637","7080049270","Axis1","-0.679970654009455","S8762","S8637"
"S8891.S8637","7080049270","Axis1","0.860521313072848","S8891","S8637"
"S9167.S8637","7080049270","Axis1","-0.651772740719737","S9167","S8637"
"S9315.S8637","7080049270","Axis1","-0.799827951743467","S9315","S8637"
"S9449.S8637","7080049270","Axis1","-0.0209803502416138","S9449","S8637"
"S9583.S8637","7080049270","Axis1","-0.118322907746403","S9583","S8637"
"S9721.S8637","7080049270","Axis1","0.884001016491742","S9721","S8637"
"S9965.S8637","7080049270","Axis1","-0.544337080649588","S9965","S8637"
"S8891.S8762","7080049270","Axis1","-0.689114546024527","S8891","S8762"
"S9167.S8762","7080049270","Axis1","0.00374053773113852","S9167","S8762"
"S9315.S8762","7080049270","Axis1","0.305588565041643","S9315","S8762"
"S9449.S8762","7080049270","Axis1","0.250330102574672","S9449","S8762"
"S9583.S8762","7080049270","Axis1","-0.0379773707390666","S9583","S8762"
"S9721.S8762","7080049270","Axis1","-0.656693590548748","S9721","S8762"
"S9965.S8762","7080049270","Axis1","0.682498202984455","S9965","S8762"
"S9167.S8891","7080049270","Axis1","-0.496446880335924","S9167","S8891"
"S9315.S8891","7080049270","Axis1","-0.536977728627061","S9315","S8891"
"S9449.S8891","7080049270","Axis1","0.192202768220248","S9449","S8891"
"S9583.S8891","7080049270","Axis1","-0.0679432607365812","S9583","S8891"
"S9721.S8891","7080049270","Axis1","0.739569422114473","S9721","S8891"
"S9965.S8891","7080049270","Axis1","-0.564950769482549","S9965","S8891"
"S9315.S9167","7080049270","Axis1","0.532963532057879","S9315","S9167"
"S9449.S9167","7080049270","Axis1","-0.280216535206739","S9449","S9167"
"S9583.S9167","7080049270","Axis1","0.0172143494123807","S9583","S9167"
"S9721.S9167","7080049270","Axis1","-0.676029239202125","S9721","S9167"
"S9965.S9167","7080049270","Axis1","-0.0130663167467452","S9965","S9167"
"S9449.S9315","7080049270","Axis1","0.262782705995553","S9449","S9315"
"S9583.S9315","7080049270","Axis1","0.460925661645826","S9583","S9315"
"S9721.S9315","7080049270","Axis1","-0.579816237323783","S9721","S9315"
"S9965.S9315","7080049270","Axis1","0.352421587646494","S9965","S9315"
"S9583.S9449","7080049270","Axis1","0.662984056352023","S9583","S9449"
"S9721.S9449","7080049270","Axis1","-0.0185407504902595","S9721","S9449"
"S9965.S9449","7080049270","Axis1","0.191381550204566","S9965","S9449"
"S9721.S9583","7080049270","Axis1","-0.0680652276786087","S9721","S9583"
"S9965.S9583","7080049270","Axis1","-0.0635012101054797","S9965","S9583"
"S9965.S9721","7080049270","Axis1","-0.329074110956114","S9965","S9721"
"S10329.S10089.1","7080049270","Axis2","0.308947934190813","S10329","S10089"
"S10459.S10089.1","7080049270","Axis2","0.452914185856935","S10459","S10089"
"S8637.S10089.1","7080049270","Axis2","0.213273510022666","S8637","S10089"
"S8762.S10089.1","7080049270","Axis2","0.825255444525619","S8762","S10089"
"S8891.S10089.1","7080049270","Axis2","0.0955324927662561","S8891","S10089"
"S9167.S10089.1","7080049270","Axis2","0.80942718778469","S9167","S10089"
"S9315.S10089.1","7080049270","Axis2","0.776931372603649","S9315","S10089"
"S9449.S10089.1","7080049270","Axis2","0.22597039179991","S9449","S10089"
"S9583.S10089.1","7080049270","Axis2","-0.0623883631721492","S9583","S10089"
"S9721.S10089.1","7080049270","Axis2","-0.266440574261904","S9721","S10089"
"S9965.S10089.1","7080049270","Axis2","0.689806850687309","S9965","S10089"
"S10459.S10329.1","7080049270","Axis2","0.641723840405837","S10459","S10329"
"S8637.S10329.1","7080049270","Axis2","0.552102283604439","S8637","S10329"
"S8762.S10329.1","7080049270","Axis2","0.668127209581927","S8762","S10329"
"S8891.S10329.1","7080049270","Axis2","0.168829044128752","S8891","S10329"
"S9167.S10329.1","7080049270","Axis2","0.541171773268732","S9167","S10329"
"S9315.S10329.1","7080049270","Axis2","0.512435704466401","S9315","S10329"
"S9449.S10329.1","7080049270","Axis2","0.0645092646654583","S9449","S10329"
"S9583.S10329.1","7080049270","Axis2","0.698484995344563","S9583","S10329"
"S9721.S10329.1","7080049270","Axis2","0.174894145890006","S9721","S10329"
"S9965.S10329.1","7080049270","Axis2","0.154888187420783","S9965","S10329"
"S8637.S10459.1","7080049270","Axis2","0.42186231551126","S8637","S10459"
"S8762.S10459.1","7080049270","Axis2","0.747619121627494","S8762","S10459"
"S8891.S10459.1","7080049270","Axis2","-0.163323032640888","S8891","S10459"
"S9167.S10459.1","7080049270","Axis2","0.616285262446313","S9167","S10459"
"S9315.S10459.1","7080049270","Axis2","0.40953685503359","S9315","S10459"
"S9449.S10459.1","7080049270","Axis2","0.255942024752047","S9449","S10459"
"S9583.S10459.1","7080049270","Axis2","0.216272895942833","S9583","S10459"
"S9721.S10459.1","7080049270","Axis2","0.260804337543349","S9721","S10459"
"S9965.S10459.1","7080049270","Axis2","0.355791007768256","S9965","S10459"
"S8762.S8637.1","7080049270","Axis2","0.560050605686045","S8762","S8637"
"S8891.S8637.1","7080049270","Axis2","0.15301495972263","S8891","S8637"
"S9167.S8637.1","7080049270","Axis2","0.542733134999086","S9167","S8637"
"S9315.S8637.1","7080049270","Axis2","0.262051652849745","S9315","S8637"
"S9449.S8637.1","7080049270","Axis2","0.128582670700503","S9449","S8637"
"S9583.S8637.1","7080049270","Axis2","0.528924984070592","S9583","S8637"
"S9721.S8637.1","7080049270","Axis2","0.398922342388397","S9721","S8637"
"S9965.S8637.1","7080049270","Axis2","-0.00818703398710074","S9965","S8637"
"S8891.S8762.1","7080049270","Axis2","0.0948663661975577","S8891","S8762"
"S9167.S8762.1","7080049270","Axis2","0.905061509556471","S9167","S8762"
"S9315.S8762.1","7080049270","Axis2","0.741597970392615","S9315","S8762"
"S9449.S8762.1","7080049270","Axis2","0.0900223535560036","S9449","S8762"
"S9583.S8762.1","7080049270","Axis2","0.337970437988379","S9583","S8762"
"S9721.S8762.1","7080049270","Axis2","-0.00604370302032162","S9721","S8762"
"S9965.S8762.1","7080049270","Axis2","0.468190063400516","S9965","S8762"
"S9167.S8891.1","7080049270","Axis2","0.170685947689312","S9167","S8891"
"S9315.S8891.1","7080049270","Axis2","0.0013870503467309","S9315","S8891"
"S9449.S8891.1","7080049270","Axis2","0.465724375951567","S9449","S8891"
"S9583.S8891.1","7080049270","Axis2","0.414916718390297","S9583","S8891"
"S9721.S8891.1","7080049270","Axis2","-0.282546231441891","S9721","S8891"
"S9965.S8891.1","7080049270","Axis2","-0.467419951299151","S9965","S8891"
"S9315.S9167.1","7080049270","Axis2","0.720114131431997","S9315","S9167"
"S9449.S9167.1","7080049270","Axis2","0.166030974523232","S9449","S9167"
"S9583.S9167.1","7080049270","Axis2","0.304763300448317","S9583","S9167"
"S9721.S9167.1","7080049270","Axis2","-0.104812358881589","S9721","S9167"
"S9965.S9167.1","7080049270","Axis2","0.424568303710478","S9965","S9167"
"S9449.S9315.1","7080049270","Axis2","0.149359410544072","S9449","S9315"
"S9583.S9315.1","7080049270","Axis2","0.321957275852751","S9583","S9315"
"S9721.S9315.1","7080049270","Axis2","0.165226037846179","S9721","S9315"
"S9965.S9315.1","7080049270","Axis2","0.514962794964988","S9965","S9315"
"S9583.S9449.1","7080049270","Axis2","-0.0498771656033686","S9583","S9449"
"S9721.S9449.1","7080049270","Axis2","0.160445491114252","S9721","S9449"
"S9965.S9449.1","7080049270","Axis2","-0.0659425495967721","S9965","S9449"
"S9721.S9583.1","7080049270","Axis2","0.415145245137921","S9721","S9583"
"S9965.S9583.1","7080049270","Axis2","-0.258997634810552","S9965","S9583"
"S9965.S9721.1","7080049270","Axis2","-0.0711371877338354","S9965","S9721"
"S10328.S10203","7080047060","Axis1","0.325183608908808","S10328","S10203"
"S10458.S10203","7080047060","Axis1","0.396828665716936","S10458","S10203"
"S10580.S10203","7080047060","Axis1","0.29983923374304","S10580","S10203"
"S10806.S10203","7080047060","Axis1","0.117188555815637","S10806","S10203"
"S10918.S10203","7080047060","Axis1","0.0203262251344313","S10918","S10203"
"S11151.S10203","7080047060","Axis1","-0.481970426298806","S11151","S10203"
"S11264.S10203","7080047060","Axis1","-0.25912542110967","S11264","S10203"
"S11383.S10203","7080047060","Axis1","-0.0968596889883365","S11383","S10203"
"S11384.S10203","7080047060","Axis1","0.602406873733076","S11384","S10203"
"S11498.S10203","7080047060","Axis1","0.130813222925152","S11498","S10203"
"S11618.S10203","7080047060","Axis1","-0.0114646185224111","S11618","S10203"
"S11784.S10203","7080047060","Axis1","0.478834988519128","S11784","S10203"
"S11804.S10203","7080047060","Axis1","0.418612214751837","S11804","S10203"
"S11816.S10203","7080047060","Axis1","-0.219901084033692","S11816","S10203"
"S11830.S10203","7080047060","Axis1","-0.429041709994337","S11830","S10203"
"S11849.S10203","7080047060","Axis1","0.0273327917120079","S11849","S10203"
"S11872.S10203","7080047060","Axis1","-0.408739080340942","S11872","S10203"
"S11988.S10203","7080047060","Axis1","0.163871979525729","S11988","S10203"
"S12494.S10203","7080047060","Axis1","0.311512137033414","S12494","S10203"
"S12684.S10203","7080047060","Axis1","0.507271688278721","S12684","S10203"
"S1296.S10203","7080047060","Axis1","-0.131648290294183","S1296","S10203"
"S1298.S10203","7080047060","Axis1","0.24138525675961","S1298","S10203"
"S1664.S10203","7080047060","Axis1","0.300468444421464","S1664","S10203"
"S1697.S10203","7080047060","Axis1","0.209231958133332","S1697","S10203"
"S176.S10203","7080047060","Axis1","0.123552486791308","S176","S10203"
"S3234.S10203","7080047060","Axis1","0.39855424662647","S3234","S10203"
"S4287.S10203","7080047060","Axis1","0.544658292841748","S4287","S10203"
"S4401.S10203","7080047060","Axis1","0.19993305018539","S4401","S10203"
"S4573.S10203","7080047060","Axis1","-0.134478370114866","S4573","S10203"
"S4668.S10203","7080047060","Axis1","0.663996612771256","S4668","S10203"
"S5110.S10203","7080047060","Axis1","0.218296421656704","S5110","S10203"
"S5121.S10203","7080047060","Axis1","-0.490163278780439","S5121","S10203"
"S5131.S10203","7080047060","Axis1","0.022427402546458","S5131","S10203"
"S5557.S10203","7080047060","Axis1","0.312335186594232","S5557","S10203"
"S5610.S10203","7080047060","Axis1","0.44171503335687","S5610","S10203"
"S5646.S10203","7080047060","Axis1","0.373767144981199","S5646","S10203"
"S5890.S10203","7080047060","Axis1","-0.0257019763165442","S5890","S10203"
"S5901.S10203","7080047060","Axis1","-0.0381481336843466","S5901","S10203"
"S6018.S10203","7080047060","Axis1","0.202959302300485","S6018","S10203"
"S6120.S10203","7080047060","Axis1","0.0502104375242572","S6120","S10203"
"S6165.S10203","7080047060","Axis1","0.460422876092279","S6165","S10203"
"S6923.S10203","7080047060","Axis1","0.640274843181398","S6923","S10203"
"S8633.S10203","7080047060","Axis1","0.264119668740154","S8633","S10203"
"S8702.S10203","7080047060","Axis1","-0.173890484301291","S8702","S10203"
"S8888.S10203","7080047060","Axis1","0.251063890953708","S8888","S10203"
"S9019.S10203","7080047060","Axis1","0.796300176283375","S9019","S10203"
"S9163.S10203","7080047060","Axis1","-0.00754597558047398","S9163","S10203"
"S9165.S10203","7080047060","Axis1","0.350539094096458","S9165","S10203"
"S9269.S10203","7080047060","Axis1","-0.0144171681782611","S9269","S10203"
"S9272.S10203","7080047060","Axis1","-0.0718094658558272","S9272","S10203"
"S9313.S10203","7080047060","Axis1","-0.175238555197169","S9313","S10203"
