"","Country","Axis","Correlation","BasinID1","BasinID2"
"X2080030610.2080030370","SWE","Axis1","0.482674529334611","2080030610","2080030370"
"X2080030630.2080030370","SWE","Axis1","0.557710896958066","2080030630","2080030370"
"X2080030660.2080030370","SWE","Axis1","0.326120881453629","2080030660","2080030370"
"X2080030710.2080030370","SWE","Axis1","0.570879953648545","2080030710","2080030370"
"X2080030760.2080030370","SWE","Axis1","0.0949074701996496","2080030760","2080030370"
"X2080031060.2080030370","SWE","Axis1","0.514709117136062","2080031060","2080030370"
"X2080031740.2080030370","SWE","Axis1","0.549788125010836","2080031740","2080030370"
"X2080031750.2080030370","SWE","Axis1","0.185846434776372","2080031750","2080030370"
"X2080031960.2080030370","SWE","Axis1","0.4034796360046","2080031960","2080030370"
"X2080032230.2080030370","SWE","Axis1","-0.673551329678058","2080032230","2080030370"
"X2080032600.2080030370","SWE","Axis1","0.121436925206829","2080032600","2080030370"
"X2080032670.2080030370","SWE","Axis1","0.48229065469594","2080032670","2080030370"
"X2080032980.2080030370","SWE","Axis1","0.400612020638595","2080032980","2080030370"
"X2080033010.2080030370","SWE","Axis1","-0.537449919251763","2080033010","2080030370"
"X2080033020.2080030370","SWE","Axis1","-0.78859772214957","2080033020","2080030370"
"X2080033080.2080030370","SWE","Axis1","-0.3905053511653","2080033080","2080030370"
"X2080033090.2080030370","SWE","Axis1","-0.179837964044444","2080033090","2080030370"
"X2080033120.2080030370","SWE","Axis1","-0.1021246595696","2080033120","2080030370"
"X2080033190.2080030370","SWE","Axis1","-0.468754709791087","2080033190","2080030370"
"X2080033320.2080030370","SWE","Axis1","-0.129869103462414","2080033320","2080030370"
"X2080030460.2080030420","SWE","Axis1","0.168931615089396","2080030460","2080030420"
"X2080030560.2080030420","SWE","Axis1","0.16684172819989","2080030560","2080030420"
"X2080030610.2080030420","SWE","Axis1","0.713405454169551","2080030610","2080030420"
"X2080030630.2080030420","SWE","Axis1","0.0302591034966947","2080030630","2080030420"
"X2080030660.2080030420","SWE","Axis1","0.490922948499559","2080030660","2080030420"
"X2080030710.2080030420","SWE","Axis1","0.232691319252212","2080030710","2080030420"
"X2080030760.2080030420","SWE","Axis1","0.207951926583755","2080030760","2080030420"
"X2080031060.2080030420","SWE","Axis1","-0.212308115646424","2080031060","2080030420"
"X2080031740.2080030420","SWE","Axis1","0.323899490662928","2080031740","2080030420"
"X2080031750.2080030420","SWE","Axis1","0.332819826573541","2080031750","2080030420"
"X2080031960.2080030420","SWE","Axis1","-0.21674163196932","2080031960","2080030420"
"X2080032230.2080030420","SWE","Axis1","-0.0982509186953108","2080032230","2080030420"
