"","Axis","Correlation","BasinID1","BasinID2"
"X2080020590.2080020330","Axis1","-0.261332731082697","2080020590","2080020330"
"X2080021030.2080020330","Axis1","0.119815672176279","2080021030","2080020330"
"X2080022150.2080020330","Axis1","0.00249704455338711","2080022150","2080020330"
"X2080023010.2080020330","Axis1","-0.712555675275234","2080023010","2080020330"
"X2080029400.2080020330","Axis1","0.0415621242971497","2080029400","2080020330"
"X2080030100.2080020330","Axis1","-0.231169808624183","2080030100","2080020330"
"X2080030160.2080020330","Axis1","0.353056739406432","2080030160","2080020330"
"X2080030220.2080020330","Axis1","0.384236217050019","2080030220","2080020330"
"X2080030370.2080020330","Axis1","0.266346881512193","2080030370","2080020330"
"X2080030420.2080020330","Axis1","0.0314055779319993","2080030420","2080020330"
"X2080030460.2080020330","Axis1","0.222204543207144","2080030460","2080020330"
"X2080030560.2080020330","Axis1","-0.506296359558569","2080030560","2080020330"
"X2080030610.2080020330","Axis1","-0.0231901922719158","2080030610","2080020330"
"X2080030630.2080020330","Axis1","-0.0190174539570613","2080030630","2080020330"
"X2080030660.2080020330","Axis1","-0.26930523383882","2080030660","2080020330"
"X2080030710.2080020330","Axis1","0.596095502917077","2080030710","2080020330"
"X2080030760.2080020330","Axis1","0.0431558073774571","2080030760","2080020330"
"X2080031060.2080020330","Axis1","0.439403206732891","2080031060","2080020330"
"X2080031740.2080020330","Axis1","0.400172068865863","2080031740","2080020330"
"X2080031750.2080020330","Axis1","-0.623669214005369","2080031750","2080020330"
"X2080031960.2080020330","Axis1","-0.299807880797039","2080031960","2080020330"
"X2080032230.2080020330","Axis1","-0.322875621390062","2080032230","2080020330"
"X2080032600.2080020330","Axis1","-0.083530754944312","2080032600","2080020330"
"X2080032670.2080020330","Axis1","0.497356397385239","2080032670","2080020330"
"X2080032980.2080020330","Axis1","0.121422185803292","2080032980","2080020330"
"X2080033010.2080020330","Axis1","-0.376235845057667","2080033010","2080020330"
"X2080033020.2080020330","Axis1","-0.454027458880827","2080033020","2080020330"
"X2080033080.2080020330","Axis1","0.154709153917172","2080033080","2080020330"
"X2080033090.2080020330","Axis1","-0.346599983081298","2080033090","2080020330"
"X2080033120.2080020330","Axis1","0.42370815789058","2080033120","2080020330"
"X2080033190.2080020330","Axis1","0.273508302339457","2080033190","2080020330"
"X2080033320.2080020330","Axis1","0.398706658359033","2080033320","2080020330"
"X2080053790.2080020330","Axis1","0.153660695652585","2080053790","2080020330"
"X5080070260.2080020330","Axis1","0.612441176409027","5080070260","2080020330"
"X5080070390.2080020330","Axis1","0.648881571843643","5080070390","2080020330"
